batch_mode,request,step,shape_equal,ref_shape,got_shape,comparable,exact,relative_l2,max_abs,mean_abs,cosine,nan,inf
B2,A,0,True,[4096],[4096],True,False,0.002428094856441021,0.03125,0.0034158078487962484,0.9999969005584717,False,False
B2,A,1,True,[4096],[4096],True,False,0.03242893144488335,0.26953125,0.04900232329964638,0.999476969242096,False,False
B2,A,2,True,[4096],[4096],True,False,0.0530141144990921,0.412109375,0.07681071758270264,0.9985948801040649,False,False
B2,A,16,True,[4096],[4096],True,False,0.04527190700173378,0.390625,0.0652751699090004,0.998975396156311,False,False
B2,A,127,True,[4096],[4096],True,False,0.03047627955675125,0.28125,0.046242374926805496,0.9995354413986206,False,False
B2,A,128,True,[4096],[4096],True,False,0.04719413444399834,0.47265625,0.06846944242715836,0.9988858103752136,False,False
B2,A,129,True,[4096],[4096],True,False,0.1174919381737709,1.03125,0.17622919380664825,0.9932486414909363,False,False
B2,A,255,True,[4096],[4096],True,False,0.11722035706043243,2.15625,0.1894756704568863,0.9933197498321533,False,False
B2,A,256,True,[4096],[4096],True,False,0.025238731876015663,0.38671875,0.039838775992393494,0.999688446521759,False,False
B2,A,257,True,[4096],[4096],True,False,0.03079191967844963,0.359375,0.04884743317961693,0.999530553817749,False,False
B2,B,0,True,[4096],[4096],True,False,0.0025122682563960552,0.03125,0.0036097788251936436,0.999996542930603,False,False
B2,B,1,True,[4096],[4096],True,False,0.07259061932563782,1.515625,0.1121269166469574,0.9973993897438049,False,False
B2,B,2,True,[4096],[4096],True,False,0.03208581730723381,0.26422119140625,0.052662137895822525,0.9994849562644958,False,False
B2,B,16,True,[4096],[4096],True,False,0.08425135165452957,1.76953125,0.13165830075740814,0.9964824318885803,False,False
B2,B,127,True,[4096],[4096],True,False,0.0359174981713295,0.26953125,0.053342901170253754,0.9993649125099182,False,False
B2,B,128,True,[4096],[4096],True,False,0.02942696586251259,0.412109375,0.04780085012316704,0.999567449092865,False,False
B2,B,129,True,[4096],[4096],True,False,0.015359102748334408,0.123046875,0.02530604600906372,0.9998819231987,False,False
B2,B,255,True,[4096],[4096],True,False,0.011736435815691948,0.08984375,0.019335005432367325,0.9999309778213501,False,False
B2,B,256,True,[4096],[4096],True,False,0.011541544459760189,0.125,0.017897017300128937,0.999933123588562,False,False
B2,B,257,True,[4096],[4096],True,False,0.019280020147562027,0.19140625,0.032131776213645935,0.9998156428337097,False,False
B4,A,0,True,[4096],[4096],True,False,0.002101363381370902,0.03125,0.0029504862613976,0.9999974966049194,False,False
B4,A,1,True,[4096],[4096],True,False,0.028029760345816612,0.26953125,0.042272329330444336,0.999607503414154,False,False
B4,A,2,True,[4096],[4096],True,False,0.04926750436425209,0.46484375,0.07087177038192749,0.9987854361534119,False,False
B4,A,16,True,[4096],[4096],True,False,0.05164746940135956,0.4921875,0.07378731667995453,0.998665452003479,False,False
B4,A,127,True,[4096],[4096],True,False,0.02630964107811451,0.2578125,0.0399157777428627,0.9996553063392639,False,False
B4,A,128,True,[4096],[4096],True,False,0.04674204811453819,0.65234375,0.06711109727621078,0.9989107251167297,False,False
B4,A,129,True,[4096],[4096],True,False,0.047872040420770645,0.36279296875,0.07193444669246674,0.9988681674003601,False,False
B4,A,255,True,[4096],[4096],True,False,0.14383603632450104,1.5,0.2353660762310028,0.9896018505096436,False,False
