batch_mode,request,step,shape_equal,ref_shape,got_shape,comparable,exact,relative_l2,max_abs,mean_abs,cosine,nan,inf
B4,A,256,True,[4096],[4096],True,False,0.024014392867684364,0.390625,0.03812730312347412,0.9997134208679199,False,False
B4,A,257,True,[4096],[4096],True,False,0.035021934658288956,0.40625,0.05531369149684906,0.9993864893913269,False,False
B4,B,0,True,[4096],[4096],True,False,0.0025770817883312702,0.03125,0.003706681774929166,0.9999964237213135,False,False
B4,B,1,True,[4096],[4096],True,False,0.07924357056617737,2.2109375,0.12117039412260056,0.9968957901000977,False,False
B4,B,2,True,[4096],[4096],True,False,0.03435913845896721,0.4375,0.0566202811896801,0.9994107484817505,False,False
B4,B,16,True,[4096],[4096],True,False,0.0789882093667984,1.99609375,0.12324037402868271,0.9969098567962646,False,False
B4,B,127,True,[4096],[4096],True,False,0.033996954560279846,0.24365234375,0.051077701151371,0.9994256496429443,False,False
B4,B,128,True,[4096],[4096],True,False,0.03979106992483139,0.7177734375,0.06466437876224518,0.9992183446884155,False,False
B4,B,129,True,[4096],[4096],True,False,0.01857936754822731,0.15625,0.030872002243995667,0.9998278021812439,False,False
B4,B,255,True,[4096],[4096],True,False,0.01247910875827074,0.08984375,0.020436890423297882,0.9999226927757263,False,False
B4,B,256,True,[4096],[4096],True,False,0.013034863397479057,0.100250244140625,0.020237093791365623,0.9999146461486816,False,False
B4,B,257,True,[4096],[4096],True,False,0.02544473297894001,0.26171875,0.04232111945748329,0.9996771216392517,False,False
B4,C,0,True,[4096],[4096],True,False,0.0018622574862092733,0.03125,0.00307443761266768,0.9999979138374329,False,False
B4,C,1,True,[4096],[4096],True,False,0.07492969185113907,1.361328125,0.11175772547721863,0.9971959590911865,False,False
B4,C,2,True,[4096],[4096],True,False,0.07392902672290802,0.6220703125,0.10739125311374664,0.9973050951957703,False,False
B4,C,16,True,[4096],[4096],True,False,0.04310153052210808,0.5625,0.07163091748952866,0.9990731477737427,False,False
B4,C,127,True,[4096],[4096],True,False,0.05790218338370323,0.533203125,0.08876989036798477,0.9983243346214294,False,False
B4,C,128,True,[4096],[4096],True,False,0.04146980494260788,0.46484375,0.0693245679140091,0.9991413950920105,False,False
B4,C,129,True,[4096],[4096],True,False,0.05966097116470337,0.921875,0.09123130887746811,0.9982183575630188,False,False
B4,C,255,True,[4096],[4096],True,False,0.05403284728527069,0.4599609375,0.08203162252902985,0.9985389113426208,False,False
B4,C,256,True,[4096],[4096],True,False,0.03754516318440437,0.484375,0.06216924637556076,0.9992954134941101,False,False
B4,C,257,True,[4096],[4096],True,False,0.052524030208587646,0.7265625,0.08053398877382278,0.9986199140548706,False,False
B4,D,0,True,[4096],[4096],True,False,0.0028206845745444298,0.03125,0.004069186747074127,0.9999956488609314,False,False
B4,D,1,True,[4096],[4096],True,False,0.05485930293798447,1.140625,0.08466523140668869,0.9985008239746094,False,False
B4,D,2,True,[4096],[4096],True,False,0.03274074196815491,0.3828125,0.051208510994911194,0.9994644522666931,False,False
B4,D,16,True,[4096],[4096],True,False,0.061003513634204865,1.0703125,0.09857212752103806,0.9981376528739929,False,False
B4,D,127,True,[4096],[4096],True,False,0.18326671421527863,2.765625,0.30115076899528503,0.983188271522522,False,False
B4,D,128,True,[4096],[4096],True,False,0.04399669170379639,0.40625,0.0621822327375412,0.9990314245223999,False,False
B4,D,129,True,[4096],[4096],True,False,0.10800328850746155,1.3046875,0.16070912778377533,0.9942814707756042,False,False
B4,D,255,True,[4096],[4096],True,False,0.05254900082945824,0.3603515625,0.07606300711631775,0.9986181259155273,False,False
B4,D,256,True,[4096],[4096],True,False,0.049167342483997345,0.4345703125,0.07821395248174667,0.9987917542457581,False,False
B4,D,257,True,[4096],[4096],True,False,0.03322368115186691,0.390625,0.051408540457487106,0.9994478225708008,False,False
