case,batch,row,step,phase,hidden_relative_l2,logit_relative_l2,logit_cosine,logit_max_abs,token_match,batched_token,ref_token
b1_ctx512_d1,1,0,0,prefill,0.0,0.0,1.0000001192092896,0.0,True,374,374
b1_ctx512_d1,1,0,1,decode,0.0,0.0,1.0,0.0,True,70003,70003
b2_ctx512_d1,2,0,0,prefill,0.002233276143670082,0.0008865426061674953,0.9999996423721313,0.0234375,True,374,374
b2_ctx512_d1,2,0,1,decode,0.025293802842497826,0.009808696806430817,0.9999525547027588,0.2109375,True,70003,70003
b2_ctx512_d1,2,1,0,prefill,0.002629835857078433,0.0009906415361911058,0.9999997019767761,0.0234375,True,426,426
b2_ctx512_d1,2,1,1,decode,0.06721913069486618,0.03150010108947754,0.9995428323745728,0.626953125,True,25,25
