batch,tokens,serial_b1_reference_cuda_median_us,page_torch_mvp_cuda_median_us,fused_cuda_median_us,fused_vs_serial_speedup,fused_vs_page_torch_speedup,fused_wall_median_us,fused_wall_cv,fused_cuda_cv,fused_launches_per_decode
1,512,731.1360239982605,5253.119945526123,66.56000018119812,10.984615715262452,78.92307588980484,82.23415352404118,0.0235742919929212,0.011023882521685133,1
2,2048,1411.072015762329,43388.9274597168,327.67999172210693,4.30625015688784,132.41250169620767,347.6431593298912,0.006369981099443576,0.005896205199821459,1
2,4096,1811.4559650421143,84772.86529541016,629.7600269317627,2.876422585707228,134.61137841413944,649.3318360298872,0.0479166079842837,0.04326787231346998,1
4,2048,3533.8239669799805,72894.46258544922,645.1200246810913,5.477777517023893,112.99364427803009,663.9398634433746,0.005497155998268082,0.004897754026225922,1
4,4096,3547.136068344116,144780.28869628906,1269.760012626648,2.793548413141825,114.02177360806473,1288.732048124075,0.003123808392900029,0.002900542795859195,1
4,8192,3853.3120155334473,287196.1669921875,2637.824058532715,1.4607918989399338,108.87616483107668,2656.1981067061424,0.006370059393842242,0.0064459662409661915,1
