backend,component,from_context,to_context,ratio
fused,centroid_update,16384,32768,1.0032190842385267
fused,decode_decoder_model_forward,2048,4096,1.002680626655825
fused,decode_decoder_model_forward,4096,8192,1.018273195641012
fused,decode_decoder_model_forward,8192,16384,1.0341888651893287
fused,decode_decoder_model_forward,16384,32768,1.0365504539614956
fused,decode_lm_head,2048,4096,0.9999799000968981
fused,decode_lm_head,4096,8192,1.0000804074688578
fused,decode_lm_head,8192,16384,0.9995443943105723
fused,decode_lm_head,16384,32768,0.999309576821462
fused,importance_update,2048,4096,0.9923123832962338
fused,importance_update,4096,8192,0.992810291868442
fused,importance_update,8192,16384,1.0011356460386656
fused,importance_update,16384,32768,1.0068800872551196
fused,mixed_v_fused_attention,2048,4096,1.0110482998671615
fused,mixed_v_fused_attention,4096,8192,1.1065933291495185
fused,mixed_v_fused_attention,8192,16384,1.1536390813679998
fused,mixed_v_fused_attention,16384,32768,1.2507772810817308
fused,output_projection,2048,4096,0.988102674212468
fused,output_projection,4096,8192,0.9996357477829428
fused,output_projection,8192,16384,0.9961208091296924
fused,output_projection,16384,32768,0.9918074890303902
fused,pack_k,2048,4096,0.9807745779386436
fused,pack_k,4096,8192,0.9631628848021109
fused,pack_k,8192,16384,1.0136663128957926
fused,pack_k,16384,32768,0.9967992053587316
fused,pack_total,2048,4096,0.9867332834259369
fused,pack_total,4096,8192,0.9884143393690278
fused,pack_total,8192,16384,1.0145867130428576
fused,pack_total,16384,32768,1.009556135041905
fused,pack_v2,2048,4096,0.9689098354609655
fused,pack_v2,4096,8192,1.001138592093935
fused,pack_v2,8192,16384,0.9994378164221602
fused,pack_v2,16384,32768,0.9997349164454197
fused,pack_v4,2048,4096,0.9776441978558497
fused,pack_v4,4096,8192,0.9872721392315708
fused,pack_v4,8192,16384,1.0464328708539725
fused,pack_v4,16384,32768,0.9705575222502248
fused,pack_window,2048,4096,1.0080326223447622
fused,pack_window,4096,8192,0.9864967840352701
fused,pack_window,8192,16384,0.9993706160282843
fused,pack_window,16384,32768,1.0159762327969781
fused,pattern_assignment,2048,4096,0.9927625870681791
fused,pattern_assignment,4096,8192,0.9944544880777679
fused,pattern_assignment,8192,16384,1.0100877085137172
fused,pattern_assignment,16384,32768,1.0016748359951035
fused,qk_fp16_regions,2048,4096,0.9848168778744516
fused,qk_fp16_regions,4096,8192,0.9501113943371245
fused,qk_fp16_regions,8192,16384,0.7944406449529003
fused,qk_fp16_regions,16384,32768,0.6502997805506733
fused,qk_quantized_history,2048,4096,1.1647043114746436
fused,qk_quantized_history,4096,8192,1.250126662886399
fused,qk_quantized_history,8192,16384,1.381583229849217
fused,qk_quantized_history,16384,32768,1.498253081729047
fused,rope_position,2048,4096,0.9657042756099972
fused,rope_position,4096,8192,1.0202917777338163
fused,rope_position,8192,16384,1.0324832322767457
fused,rope_position,16384,32768,1.0581779176023538
fused,selector_gain,2048,4096,1.07685483046862
fused,selector_gain,4096,8192,0.9039380514072228
fused,selector_gain,8192,16384,0.9980730114623407
fused,selector_gain,16384,32768,1.1009183916900114
fused,selector_score,2048,4096,0.9810933121757779
fused,selector_score,4096,8192,0.9891076722185372
fused,selector_score,8192,16384,1.0152477811118845
fused,selector_score,16384,32768,1.0079265591027415
fused,selector_topk,2048,4096,1.0011697177775776
fused,selector_topk,4096,8192,1.0066738100845323
fused,selector_topk,8192,16384,0.9865034770188879
fused,selector_topk,16384,32768,0.9955614196813135
fused,selector_total,2048,4096,1.0194868686402037
fused,selector_total,4096,8192,0.9793329806398489
fused,selector_total,8192,16384,0.9900694714045798
fused,selector_total,16384,32768,1.0216552608048886
fused,value_fp16_tail,2048,4096,0.9855425217299294
fused,value_fp16_tail,4096,8192,0.9972243397446705
fused,value_fp16_tail,8192,16384,1.002090104900513
fused,value_fp16_tail,16384,32768,0.9158437125115545
