context_tokens,backend,peak_allocated,peak_reserved,logical_valid_bytes,reserved_capacity_bytes,unused_capacity_bytes,capacity_utilization
8192,baseline,119340032,134217728,0,0,0,1.0
8192,fixed_capacity,158168064,176160768,3491712,31227904,27736192,0.1118138444386149
8192,chunked_capacity,158841344,174063616,3491712,5414912,1923200,0.6448326399394856
16384,baseline,247233536,285212672,0,0,0,1.0
16384,fixed_capacity,282858496,310378496,7038848,31227904,24189056,0.22540251180482687
16384,chunked_capacity,279722496,312475648,7038848,7094272,55424,0.9921875
32768,baseline,486874112,562036736,0,0,0,1.0
32768,fixed_capacity,530756608,568328192,14133120,31227904,17094784,0.4525798465372508
32768,chunked_capacity,520436224,547356672,14133120,14188544,55424,0.99609375
