task,layer,kv_head,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_accepted_fraction,gpu4090_accepted_fraction,v100_fn_count,gpu4090_fn_count,v100_fp_count,gpu4090_fp_count,v100_positive_support,gpu4090_positive_support,v100_negative_support,gpu4090_negative_support,fnr_abs_diff,fpr_abs_diff,accepted_fraction_abs_diff,fn_count_abs_diff,cross_hardware_consistent,support_label,fnr_stability_label,label,readiness,high_fnr_rank,low_risk_rank,rank_score
passage_retrieval_zh,22,0,0.4666666666666667,0.5254237288135594,0.0,0.0,0.3333333333333333,0.2916666666666667,28,31,0,0,60,59,36,37,0.05875706214689269,0.0,0.04166666666666663,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,20,9,"(1, -1, 0.4666666666666667, 59)"
dureader,21,7,0.45714285714285713,0.47058823529411764,0.0,0.0,0.3958333333333333,0.375,32,32,0,0,70,68,26,28,0.013445378151260512,0.0,0.020833333333333315,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,21,38,"(1, -1, 0.45714285714285713, 64)"
passage_retrieval_zh,23,5,0.45614035087719296,0.5333333333333333,0.0,0.0,0.3229166666666667,0.2916666666666667,26,32,0,0,57,60,39,36,0.07719298245614037,0.0,0.03125,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,22,8,"(1, -1, 0.45614035087719296, 58)"
passage_retrieval_en,23,6,0.45161290322580644,0.4583333333333333,0.0,0.0,0.3541666666666667,0.40625,28,33,0,0,62,72,34,24,0.006720430107526876,0.0,0.052083333333333315,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,23,35,"(1, -1, 0.45161290322580644, 61)"
passage_retrieval_zh,21,7,0.45,0.45161290322580644,0.0,0.0,0.34375,0.3541666666666667,27,28,0,0,60,62,36,34,0.001612903225806428,0.0,0.010416666666666685,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,24,21,"(1, -1, 0.45, 55)"
passage_retrieval_en,30,0,0.5238095238095238,0.4461538461538462,0.0,0.0,0.3125,0.375,33,29,0,0,63,65,33,31,0.07765567765567766,0.0,0.0625,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,25,17,"(1, -1, 0.4461538461538462, 62)"
dureader,26,7,0.45161290322580644,0.4444444444444444,0.0,0.0,0.3541666666666667,0.3645833333333333,28,28,0,0,62,63,34,33,0.007168458781362019,0.0,0.01041666666666663,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,26,26,"(1, -1, 0.4444444444444444, 56)"
samsum,23,5,0.5223880597014925,0.44285714285714284,0.0,0.038461538461538464,0.3333333333333333,0.4166666666666667,35,31,0,1,67,70,29,26,0.07953091684434965,0.038461538461538464,0.08333333333333337,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,27,1066,"(1, -1, 0.44285714285714284, 66)"
passage_retrieval_zh,8,6,0.4461538461538462,0.44285714285714284,0.0,0.0,0.375,0.40625,29,31,0,0,65,70,31,26,0.0032967032967033405,0.0,0.03125,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,28,45,"(1, -1, 0.44285714285714284, 60)"
dureader,13,5,0.45454545454545453,0.4411764705882353,0.0,0.0,0.375,0.3958333333333333,30,30,0,0,66,68,30,28,0.01336898395721925,0.0,0.020833333333333315,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,29,39,"(1, -1, 0.4411764705882353, 60)"
hotpotqa,22,0,0.4411764705882353,0.4426229508196721,0.0,0.0,0.3958333333333333,0.3541666666666667,30,27,0,0,68,61,28,35,0.001446480231436842,0.0,0.04166666666666663,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,30,30,"(1, -1, 0.4411764705882353, 57)"
passage_retrieval_en,30,7,0.4714285714285714,0.4393939393939394,0.0,0.0,0.3854166666666667,0.3854166666666667,33,29,0,0,70,66,26,30,0.03203463203463203,0.0,0.0,4,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,31,42,"(1, -1, 0.4393939393939394, 62)"
dureader,24,5,0.5,0.4375,0.0,0.0,0.3229166666666667,0.375,31,28,0,0,62,64,34,32,0.0625,0.0,0.052083333333333315,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,32,22,"(1, -1, 0.4375, 59)"
dureader,22,0,0.43636363636363634,0.576271186440678,0.0,0.0,0.3229166666666667,0.2604166666666667,24,34,0,0,55,59,41,37,0.13990755007704164,0.0,0.0625,10,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,33,6,"(1, -1, 0.43636363636363634, 58)"
dureader,0,4,0.43243243243243246,0.4782608695652174,0.0,0.0,0.4375,0.375,32,33,0,0,74,69,22,27,0.04582843713278495,0.0,0.0625,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,34,50,"(1, -1, 0.43243243243243246, 65)"
passage_retrieval_en,13,5,0.4782608695652174,0.4307692307692308,0.0,0.0,0.375,0.3854166666666667,33,28,0,0,69,65,27,31,0.04749163879598661,0.0,0.010416666666666685,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,35,36,"(1, -1, 0.4307692307692308, 61)"
passage_retrieval_zh,26,7,0.5,0.4305555555555556,0.0,0.0,0.3333333333333333,0.4270833333333333,32,31,0,0,64,72,32,24,0.06944444444444442,0.0,0.09375,1,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,36,34,"(1, -1, 0.4305555555555556, 63)"
passage_retrieval_zh,23,6,0.45161290322580644,0.4305555555555556,0.029411764705882353,0.0,0.3645833333333333,0.4270833333333333,28,31,1,0,62,72,34,24,0.02105734767025086,0.029411764705882353,0.0625,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,37,1037,"(1, -1, 0.4305555555555556, 59)"
passage_retrieval_zh,27,5,0.4264705882352941,0.47761194029850745,0.0,0.0,0.40625,0.3645833333333333,29,32,0,0,68,67,28,29,0.05114135206321335,0.0,0.041666666666666685,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,38,40,"(1, -1, 0.4264705882352941, 61)"
passage_retrieval_zh,25,1,0.423728813559322,0.48214285714285715,0.0,0.0,0.3541666666666667,0.3020833333333333,25,27,0,0,59,56,37,40,0.058414043583535136,0.0,0.05208333333333337,2,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,39,11,"(1, -1, 0.423728813559322, 52)"
passage_retrieval_en,22,7,0.5076923076923077,0.421875,0.0,0.0,0.3333333333333333,0.3854166666666667,33,27,0,0,65,64,31,32,0.08581730769230766,0.0,0.05208333333333337,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,40,27,"(1, -1, 0.421875, 60)"
passage_retrieval_zh,3,0,0.46875,0.42028985507246375,0.0,0.0,0.3541666666666667,0.4166666666666667,30,29,0,0,64,69,32,27,0.04846014492753625,0.0,0.0625,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,41,43,"(1, -1, 0.42028985507246375, 59)"
dureader,15,3,0.41935483870967744,0.4647887323943662,0.0,0.04,0.375,0.40625,26,33,0,1,62,71,34,25,0.04543389368468875,0.04,0.03125,7,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,42,1072,"(1, -1, 0.41935483870967744, 59)"
dureader,30,3,0.41935483870967744,0.43283582089552236,0.0,0.0,0.375,0.3958333333333333,26,29,0,0,62,67,34,29,0.013480982185844925,0.0,0.020833333333333315,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,43,41,"(1, -1, 0.41935483870967744, 55)"
dureader,25,1,0.42857142857142855,0.417910447761194,0.0,0.0,0.375,0.40625,27,28,0,0,63,67,33,29,0.010660980810234533,0.0,0.03125,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,44,46,"(1, -1, 0.417910447761194, 55)"
dureader,8,6,0.417910447761194,0.421875,0.0,0.0,0.40625,0.3854166666666667,28,27,0,0,67,64,29,32,0.003964552238805985,0.0,0.020833333333333315,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,45,48,"(1, -1, 0.417910447761194, 55)"
passage_retrieval_zh,31,5,0.4142857142857143,0.4714285714285714,0.0,0.0,0.4270833333333333,0.3854166666666667,29,33,0,0,70,70,26,26,0.057142857142857106,0.0,0.04166666666666663,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,46,51,"(1, -1, 0.4142857142857143, 62)"
passage_retrieval_zh,23,3,0.5522388059701493,0.4098360655737705,0.0,0.0,0.3125,0.375,37,25,0,0,67,61,29,35,0.1424027403963788,0.0,0.0625,12,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,47,18,"(1, -1, 0.4098360655737705, 62)"
passage_retrieval_zh,3,6,0.4098360655737705,0.5166666666666667,0.0,0.0,0.375,0.3020833333333333,25,31,0,0,61,60,35,36,0.10683060109289622,0.0,0.07291666666666669,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,48,15,"(1, -1, 0.4098360655737705, 56)"
dureader,23,5,0.5245901639344263,0.4090909090909091,0.0,0.0,0.3020833333333333,0.40625,32,27,0,0,61,66,35,30,0.11549925484351714,0.0,0.10416666666666669,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,49,23,"(1, -1, 0.4090909090909091, 59)"
passage_retrieval_en,21,6,0.5245901639344263,0.4090909090909091,0.0,0.0,0.3020833333333333,0.40625,32,27,0,0,61,66,35,30,0.11549925484351714,0.0,0.10416666666666669,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,50,24,"(1, -1, 0.4090909090909091, 59)"
passage_retrieval_zh,19,6,0.40625,0.4067796610169492,0.03125,0.0,0.40625,0.3645833333333333,26,24,1,0,64,59,32,37,0.0005296610169491789,0.03125,0.041666666666666685,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,51,1039,"(1, -1, 0.40625, 50)"
passage_retrieval_zh,30,7,0.4032258064516129,0.42028985507246375,0.029411764705882353,0.0,0.3958333333333333,0.4166666666666667,25,29,1,0,62,69,34,27,0.01706404862085087,0.029411764705882353,0.02083333333333337,4,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,52,1038,"(1, -1, 0.4032258064516129, 54)"
hotpotqa,30,7,0.40298507462686567,0.46875,0.0,0.0,0.4166666666666667,0.3541666666666667,27,30,0,0,67,64,29,32,0.06576492537313433,0.0,0.0625,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,53,44,"(1, -1, 0.40298507462686567, 57)"
dureader,9,1,0.463768115942029,0.4,0.0,0.0,0.3854166666666667,0.4375,32,28,0,0,69,70,27,26,0.06376811594202897,0.0,0.052083333333333315,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,54,59,"(1, -1, 0.4, 60)"
passage_retrieval_zh,16,2,0.43283582089552236,0.4,0.0,0.03225806451612903,0.3958333333333333,0.4166666666666667,29,26,0,1,67,65,29,31,0.03283582089552234,0.03225806451612903,0.02083333333333337,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,55,1043,"(1, -1, 0.4, 55)"
hotpotqa,27,5,0.4,0.40298507462686567,0.03225806451612903,0.0,0.4166666666666667,0.4166666666666667,26,27,1,0,65,67,31,29,0.002985074626865647,0.03225806451612903,0.0,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,56,1045,"(1, -1, 0.4, 53)"
samsum,27,0,0.4,0.4090909090909091,0.03225806451612903,0.0,0.4166666666666667,0.40625,26,27,1,0,65,66,31,30,0.009090909090909094,0.03225806451612903,0.010416666666666685,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,57,1044,"(1, -1, 0.4, 53)"
