task,layer,kv_head,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_accepted_fraction,gpu4090_accepted_fraction,v100_fn_count,gpu4090_fn_count,v100_fp_count,gpu4090_fp_count,v100_positive_support,gpu4090_positive_support,v100_negative_support,gpu4090_negative_support,fnr_abs_diff,fpr_abs_diff,accepted_fraction_abs_diff,fn_count_abs_diff,cross_hardware_consistent,support_label,fnr_stability_label,label,readiness,high_fnr_rank,low_risk_rank,rank_score
samsum,1,1,0.24285714285714285,0.2112676056338028,0.0,0.0,0.5520833333333334,0.5833333333333334,17,15,0,0,70,71,26,25,0.03158953722334004,0.0,0.03125,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,325,227,"(1, -1, 0.2112676056338028, 32)"
samsum,15,2,0.21052631578947367,0.36,0.0,0.0,0.625,0.5,16,27,0,0,76,75,20,21,0.14947368421052631,0.0,0.125,11,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,326,215,"(1, -1, 0.21052631578947367, 43)"
passage_retrieval_en,13,1,0.2777777777777778,0.21052631578947367,0.0,0.0,0.5416666666666666,0.625,20,16,0,0,72,76,24,20,0.06725146198830412,0.0,0.08333333333333337,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,327,240,"(1, -1, 0.21052631578947367, 36)"
dureader,22,2,0.24358974358974358,0.21052631578947367,0.0,0.0,0.6145833333333334,0.625,19,16,0,0,78,76,18,20,0.03306342780026991,0.0,0.01041666666666663,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,328,290,"(1, -1, 0.21052631578947367, 35)"
samsum,17,4,0.21052631578947367,0.2318840579710145,0.0,0.0,0.625,0.5520833333333334,16,16,0,0,76,69,20,27,0.021357742181540823,0.0,0.07291666666666663,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,329,252,"(1, -1, 0.21052631578947367, 32)"
passage_retrieval_zh,1,1,0.208955223880597,0.38461538461538464,0.0,0.0,0.5520833333333334,0.4166666666666667,14,25,0,0,67,65,29,31,0.17566016073478763,0.0,0.13541666666666669,11,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,330,122,"(1, -1, 0.208955223880597, 39)"
dureader,19,5,0.2876712328767123,0.20833333333333334,0.0,0.0,0.5416666666666666,0.59375,21,15,0,0,73,72,23,24,0.07933789954337897,0.0,0.05208333333333337,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,331,222,"(1, -1, 0.20833333333333334, 36)"
hotpotqa,21,7,0.2898550724637681,0.20833333333333334,0.037037037037037035,0.0,0.5208333333333334,0.59375,20,15,1,0,69,72,27,24,0.08152173913043478,0.037037037037037035,0.07291666666666663,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,332,1064,"(1, -1, 0.20833333333333334, 35)"
hotpotqa,26,5,0.20833333333333334,0.22666666666666666,0.0,0.0,0.59375,0.6041666666666666,15,17,0,0,72,75,24,21,0.018333333333333313,0.0,0.01041666666666663,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,333,262,"(1, -1, 0.20833333333333334, 32)"
passage_retrieval_en,19,1,0.2077922077922078,0.24675324675324675,0.0,0.0,0.6354166666666666,0.6041666666666666,16,19,0,0,77,77,19,19,0.038961038961038946,0.0,0.03125,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,334,286,"(1, -1, 0.2077922077922078, 35)"
samsum,25,4,0.2236842105263158,0.2077922077922078,0.0,0.0,0.6145833333333334,0.6354166666666666,17,16,0,0,76,77,20,19,0.015892002734107985,0.0,0.02083333333333326,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,335,296,"(1, -1, 0.2077922077922078, 33)"
passage_retrieval_en,10,5,0.2073170731707317,0.25,0.0,0.0,0.6770833333333334,0.59375,17,19,0,0,82,76,14,20,0.0426829268292683,0.0,0.08333333333333337,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,336,311,"(1, -1, 0.2073170731707317, 36)"
passage_retrieval_zh,12,0,0.2073170731707317,0.2073170731707317,0.0,0.0,0.6770833333333334,0.6770833333333334,17,17,0,0,82,82,14,14,0.0,0.0,0.0,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,337,370,"(1, -1, 0.2073170731707317, 34)"
dureader,1,3,0.20588235294117646,0.24285714285714285,0.0,0.0,0.5625,0.5520833333333334,14,17,0,0,68,70,28,26,0.036974789915966394,0.0,0.01041666666666663,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,338,209,"(1, -1, 0.20588235294117646, 31)"
hotpotqa,17,7,0.20588235294117646,0.22535211267605634,0.0,0.0,0.5625,0.5729166666666666,14,16,0,0,68,71,28,25,0.019469759734879882,0.0,0.01041666666666663,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,339,223,"(1, -1, 0.20588235294117646, 30)"
passage_retrieval_en,11,7,0.2054794520547945,0.2465753424657534,0.0,0.0,0.6041666666666666,0.5729166666666666,15,18,0,0,73,73,23,23,0.0410958904109589,0.0,0.03125,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,340,250,"(1, -1, 0.2054794520547945, 33)"
samsum,17,1,0.22666666666666666,0.2054794520547945,0.0,0.0,0.6041666666666666,0.6041666666666666,17,15,0,0,75,73,21,23,0.021187214611872146,0.0,0.0,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,341,266,"(1, -1, 0.2054794520547945, 32)"
hotpotqa,22,2,0.2054794520547945,0.21333333333333335,0.043478260869565216,0.0,0.6145833333333334,0.6145833333333334,15,16,1,0,73,75,23,21,0.007853881278538838,0.043478260869565216,0.0,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,342,1094,"(1, -1, 0.2054794520547945, 31)"
hotpotqa,9,7,0.20512820512820512,0.25882352941176473,0.0,0.0,0.6458333333333334,0.65625,16,22,0,0,78,85,18,11,0.05369532428355961,0.0,0.01041666666666663,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,343,330,"(1, -1, 0.20512820512820512, 38)"
passage_retrieval_zh,12,2,0.21428571428571427,0.20481927710843373,0.0,0.0,0.6875,0.6875,18,17,0,0,84,83,12,13,0.009466437177280546,0.0,0.0,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,344,386,"(1, -1, 0.20481927710843373, 35)"
hotpotqa,25,3,0.2028985507246377,0.3424657534246575,0.037037037037037035,0.0,0.5833333333333334,0.5,14,25,1,0,69,73,27,23,0.13956720270001982,0.037037037037037035,0.08333333333333337,11,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,345,1063,"(1, -1, 0.2028985507246377, 39)"
hotpotqa,12,5,0.25333333333333335,0.20270270270270271,0.0,0.0,0.5833333333333334,0.6145833333333334,19,15,0,0,75,74,21,22,0.05063063063063064,0.0,0.03125,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,346,264,"(1, -1, 0.20270270270270271, 34)"
hotpotqa,8,1,0.20270270270270271,0.22077922077922077,0.0,0.0,0.6145833333333334,0.625,15,17,0,0,74,77,22,19,0.018076518076518056,0.0,0.01041666666666663,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,347,291,"(1, -1, 0.20270270270270271, 32)"
dureader,11,7,0.20270270270270271,0.22857142857142856,0.0,0.0,0.6145833333333334,0.5625,15,16,0,0,74,70,22,26,0.02586872586872585,0.0,0.05208333333333337,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,348,253,"(1, -1, 0.20270270270270271, 31)"
samsum,30,6,0.20270270270270271,0.21621621621621623,0.045454545454545456,0.0,0.625,0.6041666666666666,15,16,1,0,74,74,22,22,0.013513513513513514,0.045454545454545456,0.02083333333333337,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,349,1101,"(1, -1, 0.20270270270270271, 31)"
samsum,14,3,0.2028985507246377,0.20270270270270271,0.037037037037037035,0.0,0.5833333333333334,0.6145833333333334,14,15,1,0,69,74,27,22,0.00019584802193498008,0.037037037037037035,0.03125,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,350,1065,"(1, -1, 0.20270270270270271, 29)"
passage_retrieval_zh,29,2,0.273972602739726,0.20253164556962025,0.0,0.0,0.5520833333333334,0.65625,20,16,0,0,73,79,23,17,0.07144095717010576,0.0,0.10416666666666663,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,351,268,"(1, -1, 0.20253164556962025, 36)"
samsum,19,5,0.25,0.20253164556962025,0.0,0.0,0.59375,0.65625,19,16,0,0,76,79,20,17,0.04746835443037975,0.0,0.0625,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,352,297,"(1, -1, 0.20253164556962025, 35)"
passage_retrieval_zh,22,4,0.20253164556962025,0.24324324324324326,0.0,0.045454545454545456,0.65625,0.59375,16,18,0,1,79,74,17,22,0.04071159767362301,0.045454545454545456,0.0625,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,353,1102,"(1, -1, 0.20253164556962025, 34)"
dureader,10,5,0.2,0.2894736842105263,0.0,0.0,0.6666666666666666,0.5625,16,22,0,0,80,76,16,20,0.08947368421052632,0.0,0.10416666666666663,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,354,279,"(1, -1, 0.2, 38)"
samsum,17,7,0.2,0.2857142857142857,0.0,0.0,0.5833333333333334,0.5208333333333334,14,20,0,0,70,70,26,26,0.08571428571428569,0.0,0.0625,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,355,203,"(1, -1, 0.2, 34)"
samsum,23,3,0.30303030303030304,0.2,0.0,0.0,0.4791666666666667,0.5833333333333334,20,14,0,0,66,70,30,26,0.10303030303030303,0.0,0.10416666666666669,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,356,179,"(1, -1, 0.2, 34)"
hotpotqa,5,5,0.2,0.23943661971830985,0.047619047619047616,0.0,0.6354166666666666,0.5625,15,17,1,0,75,71,21,25,0.039436619718309834,0.047619047619047616,0.07291666666666663,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,357,1107,"(1, -1, 0.2, 32)"
hotpotqa,30,6,0.2191780821917808,0.2,0.0,0.0,0.59375,0.625,16,15,0,0,73,75,23,21,0.0191780821917808,0.0,0.03125,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,358,275,"(1, -1, 0.2, 31)"
passage_retrieval_en,21,3,0.2,0.24285714285714285,0.0,0.0,0.5833333333333334,0.5520833333333334,14,17,0,0,70,70,26,26,0.042857142857142844,0.0,0.03125,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,359,228,"(1, -1, 0.2, 31)"
passage_retrieval_en,24,2,0.20270270270270271,0.2,0.0,0.0,0.6145833333333334,0.625,15,15,0,0,74,75,22,21,0.002702702702702703,0.0,0.01041666666666663,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,360,292,"(1, -1, 0.2, 30)"
samsum,0,4,0.2,0.2459016393442623,0.0,0.0,0.5,0.4791666666666667,12,15,0,0,60,61,36,35,0.04590163934426228,0.0,0.020833333333333315,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,361,127,"(1, -1, 0.2, 27)"
passage_retrieval_zh,11,7,0.19736842105263158,0.2191780821917808,0.0,0.0,0.6354166666666666,0.59375,15,16,0,0,76,73,20,23,0.021809661139149228,0.0,0.04166666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,362,280,"(1, -1, 0.19736842105263158, 31)"
passage_retrieval_en,15,4,0.24324324324324326,0.19718309859154928,0.0,0.0,0.5833333333333334,0.59375,18,14,0,0,74,71,22,25,0.046060144651693974,0.0,0.01041666666666663,4,True,low_support,stable,stable_low_fpr,aggregate_only,363,254,"(1, -1, 0.19718309859154928, 32)"
passage_retrieval_en,31,0,0.19696969696969696,0.22972972972972974,0.0,0.0,0.5520833333333334,0.59375,13,17,0,0,66,74,30,22,0.03276003276003278,0.0,0.04166666666666663,4,True,low_support,stable,stable_low_fpr,aggregate_only,364,230,"(1, -1, 0.19696969696969696, 30)"
passage_retrieval_en,9,0,0.19540229885057472,0.2,0.0,0.0,0.7291666666666666,0.75,17,18,0,0,87,90,9,6,0.004597701149425287,0.0,0.02083333333333337,1,True,low_support,stable,stable_low_fpr,aggregate_only,365,490,"(1, -1, 0.19540229885057472, 35)"
dureader,18,6,0.19480519480519481,0.2,0.0,0.0,0.6458333333333334,0.625,15,15,0,0,77,75,19,21,0.0051948051948051965,0.0,0.02083333333333337,0,True,low_support,stable,stable_low_fpr,aggregate_only,366,312,"(1, -1, 0.19480519480519481, 30)"
hotpotqa,6,0,0.19444444444444445,0.21052631578947367,0.0,0.0,0.6041666666666666,0.625,14,16,0,0,72,76,24,20,0.016081871345029225,0.0,0.02083333333333337,2,True,low_support,stable,stable_low_fpr,aggregate_only,367,281,"(1, -1, 0.19444444444444445, 30)"
dureader,11,5,0.19444444444444445,0.19402985074626866,0.0,0.034482758620689655,0.6041666666666666,0.5729166666666666,14,13,0,1,72,67,24,29,0.00041459369817578584,0.034482758620689655,0.03125,1,True,low_support,stable,stable_low_fpr,aggregate_only,368,1053,"(1, -1, 0.19402985074626866, 27)"
gsm8k,27,5,0.19298245614035087,0.23809523809523808,0.0,0.0,0.575,0.6,11,15,0,0,57,63,23,17,0.045112781954887216,0.0,0.025000000000000022,4,True,low_support,stable,stable_low_fpr,aggregate_only,369,246,"(1, -1, 0.19298245614035087, 26)"
samsum,15,4,0.2125,0.19230769230769232,0.0,0.0,0.65625,0.65625,17,15,0,0,80,78,16,18,0.020192307692307676,0.0,0.0,2,True,low_support,stable,stable_low_fpr,aggregate_only,370,340,"(1, -1, 0.19230769230769232, 32)"
passage_retrieval_en,18,7,0.19230769230769232,0.21052631578947367,0.0,0.0,0.65625,0.625,15,16,0,0,78,76,18,20,0.018218623481781354,0.0,0.03125,1,True,low_support,stable,stable_low_fpr,aggregate_only,371,319,"(1, -1, 0.19230769230769232, 31)"
passage_retrieval_zh,15,4,0.1917808219178082,0.23376623376623376,0.0,0.0,0.6145833333333334,0.6145833333333334,14,18,0,0,73,77,23,19,0.04198541184842555,0.0,0.0,4,True,low_support,stable,stable_low_fpr,aggregate_only,372,284,"(1, -1, 0.1917808219178082, 32)"
samsum,27,1,0.19117647058823528,0.22857142857142856,0.0,0.0,0.5729166666666666,0.5625,13,16,0,0,68,70,28,26,0.03739495798319328,0.0,0.01041666666666663,3,True,low_support,stable,stable_low_fpr,aggregate_only,373,224,"(1, -1, 0.19117647058823528, 29)"
samsum,3,0,0.19718309859154928,0.19117647058823528,0.0,0.0,0.59375,0.5729166666666666,14,13,0,0,71,68,25,28,0.006006628003314002,0.0,0.02083333333333337,1,True,low_support,stable,stable_low_fpr,aggregate_only,374,241,"(1, -1, 0.19117647058823528, 27)"
dureader,19,4,0.189873417721519,0.2,0.0,0.0,0.6666666666666666,0.625,15,15,0,0,79,75,17,21,0.010126582278481011,0.0,0.04166666666666663,0,True,low_support,stable,stable_low_fpr,aggregate_only,375,326,"(1, -1, 0.189873417721519, 30)"
passage_retrieval_zh,9,5,0.1891891891891892,0.2054794520547945,0.0,0.043478260869565216,0.625,0.6145833333333334,14,15,0,1,74,73,22,23,0.01629026286560531,0.043478260869565216,0.01041666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,376,1095,"(1, -1, 0.1891891891891892, 29)"
samsum,8,1,0.1875,0.2077922077922078,0.0,0.0,0.6770833333333334,0.6354166666666666,15,16,0,0,80,77,16,19,0.020292207792207806,0.0,0.04166666666666674,1,True,low_support,stable,stable_low_fpr,aggregate_only,377,341,"(1, -1, 0.1875, 31)"
hotpotqa,26,1,0.18666666666666668,0.2236842105263158,0.0,0.0,0.6354166666666666,0.6145833333333334,14,17,0,0,75,76,21,20,0.037017543859649116,0.0,0.02083333333333326,3,True,low_support,stable,stable_low_fpr,aggregate_only,378,298,"(1, -1, 0.18666666666666668, 31)"
dureader,31,0,0.18666666666666668,0.21052631578947367,0.0,0.0,0.6354166666666666,0.625,14,16,0,0,75,76,21,20,0.023859649122806997,0.0,0.01041666666666663,2,True,low_support,stable,stable_low_fpr,aggregate_only,379,303,"(1, -1, 0.18666666666666668, 30)"
passage_retrieval_zh,2,4,0.2191780821917808,0.18666666666666668,0.0,0.0,0.59375,0.6354166666666666,16,14,0,0,73,75,23,21,0.032511415525114135,0.0,0.04166666666666663,2,True,low_support,stable,stable_low_fpr,aggregate_only,380,282,"(1, -1, 0.18666666666666668, 30)"
gsm8k,1,3,0.1864406779661017,0.19672131147540983,0.0,0.0,0.6,0.6125,11,12,0,0,59,61,21,19,0.010280633509308135,0.0,0.012500000000000067,1,True,low_support,stable,stable_low_fpr,aggregate_only,381,271,"(1, -1, 0.1864406779661017, 23)"
hotpotqa,31,7,0.19696969696969696,0.18571428571428572,0.0,0.0,0.5520833333333334,0.59375,13,13,0,0,66,70,30,26,0.01125541125541124,0.0,0.04166666666666663,0,True,low_support,stable,stable_low_fpr,aggregate_only,382,231,"(1, -1, 0.18571428571428572, 26)"
samsum,22,3,0.22666666666666666,0.18421052631578946,0.0,0.0,0.6041666666666666,0.6458333333333334,17,14,0,0,75,76,21,20,0.04245614035087719,0.0,0.04166666666666674,3,True,low_support,stable,stable_low_fpr,aggregate_only,383,299,"(1, -1, 0.18421052631578946, 31)"
passage_retrieval_en,19,5,0.20270270270270271,0.18421052631578946,0.0,0.0,0.6145833333333334,0.6458333333333334,15,14,0,0,74,76,22,20,0.01849217638691325,0.0,0.03125,1,True,low_support,stable,stable_low_fpr,aggregate_only,384,306,"(1, -1, 0.18421052631578946, 29)"
passage_retrieval_zh,15,5,0.18309859154929578,0.2328767123287671,0.0,0.0,0.6041666666666666,0.5833333333333334,13,17,0,0,71,73,25,23,0.04977812077947133,0.0,0.02083333333333326,4,True,low_support,stable,stable_low_fpr,aggregate_only,385,261,"(1, -1, 0.18309859154929578, 30)"
samsum,29,0,0.18309859154929578,0.22535211267605634,0.04,0.0,0.6145833333333334,0.5729166666666666,13,16,1,0,71,71,25,25,0.04225352112676056,0.04,0.04166666666666674,3,True,low_support,stable,stable_low_fpr,aggregate_only,386,1080,"(1, -1, 0.18309859154929578, 29)"
hotpotqa,20,7,0.19480519480519481,0.18309859154929578,0.0,0.0,0.6458333333333334,0.6041666666666666,15,13,0,0,77,71,19,25,0.011706603255899034,0.0,0.04166666666666674,2,True,low_support,stable,stable_low_fpr,aggregate_only,387,300,"(1, -1, 0.18309859154929578, 28)"
samsum,25,3,0.2054794520547945,0.18309859154929578,0.0,0.0,0.6041666666666666,0.6041666666666666,15,13,0,0,73,71,23,25,0.02238086050549873,0.0,0.0,2,True,low_support,stable,stable_low_fpr,aggregate_only,388,267,"(1, -1, 0.18309859154929578, 28)"
hotpotqa,15,5,0.18181818181818182,0.2,0.0,0.0,0.65625,0.625,14,15,0,0,77,75,19,21,0.018181818181818188,0.0,0.03125,1,True,low_support,stable,stable_low_fpr,aggregate_only,389,320,"(1, -1, 0.18181818181818182, 29)"
dureader,9,0,0.18072289156626506,0.19047619047619047,0.0,0.0,0.7083333333333334,0.7083333333333334,15,16,0,0,83,84,13,12,0.009753298909925406,0.0,0.0,1,True,low_support,stable,stable_low_fpr,aggregate_only,390,440,"(1, -1, 0.18072289156626506, 31)"
samsum,4,7,0.19718309859154928,0.18055555555555555,0.0,0.0,0.59375,0.6145833333333334,14,13,0,0,71,72,25,24,0.01662754303599373,0.0,0.02083333333333337,1,True,low_support,stable,stable_low_fpr,aggregate_only,391,269,"(1, -1, 0.18055555555555555, 27)"
passage_retrieval_zh,26,3,0.1891891891891892,0.1794871794871795,0.0,0.0,0.625,0.6666666666666666,14,14,0,0,74,78,22,18,0.009702009702009712,0.0,0.04166666666666663,0,True,low_support,stable,stable_low_fpr,aggregate_only,392,327,"(1, -1, 0.1794871794871795, 28)"
hotpotqa,13,1,0.21621621621621623,0.1791044776119403,0.045454545454545456,0.0,0.6145833333333334,0.5729166666666666,16,12,1,0,74,67,22,29,0.03711173860427594,0.045454545454545456,0.04166666666666674,4,True,low_support,stable,stable_low_fpr,aggregate_only,393,1100,"(1, -1, 0.1791044776119403, 28)"
hotpotqa,23,3,0.1780821917808219,0.21333333333333335,0.0,0.0,0.625,0.6145833333333334,13,16,0,0,73,75,23,21,0.03525114155251144,0.0,0.01041666666666663,3,True,low_support,stable,stable_low_fpr,aggregate_only,394,293,"(1, -1, 0.1780821917808219, 29)"
dureader,22,5,0.18421052631578946,0.1780821917808219,0.0,0.0,0.6458333333333334,0.625,14,13,0,0,76,73,20,23,0.0061283345349675555,0.0,0.02083333333333337,1,True,low_support,stable,stable_low_fpr,aggregate_only,395,313,"(1, -1, 0.1780821917808219, 27)"
passage_retrieval_zh,7,3,0.17567567567567569,0.20270270270270271,0.0,0.0,0.6354166666666666,0.6145833333333334,13,15,0,0,74,74,22,22,0.02702702702702703,0.0,0.02083333333333326,2,True,low_support,stable,stable_low_fpr,aggregate_only,396,301,"(1, -1, 0.17567567567567569, 28)"
passage_retrieval_en,23,2,0.1891891891891892,0.17567567567567569,0.0,0.0,0.625,0.6354166666666666,14,13,0,0,74,74,22,22,0.013513513513513514,0.0,0.01041666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,397,304,"(1, -1, 0.17567567567567569, 27)"
passage_retrieval_en,25,4,0.17567567567567569,0.18666666666666668,0.0,0.0,0.6354166666666666,0.6354166666666666,13,14,0,0,74,75,22,21,0.01099099099099099,0.0,0.0,1,True,low_support,stable,stable_low_fpr,aggregate_only,398,308,"(1, -1, 0.17567567567567569, 27)"
hotpotqa,13,2,0.20224719101123595,0.1744186046511628,0.0,0.0,0.7395833333333334,0.7395833333333334,18,15,0,0,89,86,7,10,0.027828586360073154,0.0,0.0,3,True,low_support,stable,stable_low_fpr,aggregate_only,399,497,"(1, -1, 0.1744186046511628, 33)"
samsum,7,3,0.20512820512820512,0.17333333333333334,0.0,0.047619047619047616,0.6458333333333334,0.65625,16,13,0,1,78,75,18,21,0.03179487179487178,0.047619047619047616,0.01041666666666663,3,True,low_support,stable,stable_low_fpr,aggregate_only,400,1108,"(1, -1, 0.17333333333333334, 29)"
passage_retrieval_zh,5,5,0.19444444444444445,0.17333333333333334,0.041666666666666664,0.047619047619047616,0.6145833333333334,0.65625,14,13,1,1,72,75,24,21,0.02111111111111111,0.005952380952380952,0.04166666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,401,1128,"(1, -1, 0.17333333333333334, 27)"
dureader,16,5,0.17333333333333334,0.1780821917808219,0.0,0.0,0.6458333333333334,0.625,13,13,0,0,75,73,21,23,0.004748858447488569,0.0,0.02083333333333337,0,True,low_support,stable,stable_low_fpr,aggregate_only,402,314,"(1, -1, 0.17333333333333334, 26)"
passage_retrieval_en,27,2,0.21951219512195122,0.1728395061728395,0.0,0.0,0.6666666666666666,0.6979166666666666,18,14,0,0,82,81,14,15,0.046672688949111724,0.0,0.03125,4,True,low_support,stable,stable_low_fpr,aggregate_only,403,376,"(1, -1, 0.1728395061728395, 32)"
dureader,20,1,0.20270270270270271,0.1728395061728395,0.0,0.0,0.6145833333333334,0.6979166666666666,15,14,0,0,74,81,22,15,0.029863196529863217,0.0,0.08333333333333326,1,True,low_support,stable,stable_low_fpr,aggregate_only,404,342,"(1, -1, 0.1728395061728395, 29)"
gsm8k,18,4,0.18333333333333332,0.1724137931034483,0.0,0.0,0.6125,0.6,11,10,0,0,60,58,20,22,0.010919540229885033,0.0,0.012500000000000067,1,True,low_support,stable,stable_low_fpr,aggregate_only,405,272,"(1, -1, 0.1724137931034483, 21)"
passage_retrieval_zh,4,0,0.17105263157894737,0.2077922077922078,0.0,0.0,0.65625,0.6354166666666666,13,16,0,0,76,77,20,19,0.03673957621326043,0.0,0.02083333333333337,3,True,low_support,stable,stable_low_fpr,aggregate_only,406,328,"(1, -1, 0.17105263157894737, 29)"
hotpotqa,20,5,0.17105263157894737,0.19444444444444445,0.0,0.041666666666666664,0.65625,0.6145833333333334,13,14,0,1,76,72,20,24,0.023391812865497075,0.041666666666666664,0.04166666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,407,1087,"(1, -1, 0.17105263157894737, 27)"
samsum,16,4,0.1917808219178082,0.17105263157894737,0.0,0.0,0.6145833333333334,0.65625,14,13,0,0,73,76,23,20,0.020728190338860836,0.0,0.04166666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,408,315,"(1, -1, 0.17105263157894737, 27)"
dureader,21,0,0.1780821917808219,0.17105263157894737,0.0,0.0,0.625,0.65625,13,13,0,0,73,76,23,20,0.007029560201874535,0.0,0.03125,0,True,low_support,stable,stable_low_fpr,aggregate_only,409,321,"(1, -1, 0.17105263157894737, 26)"
passage_retrieval_en,28,7,0.16901408450704225,0.18840579710144928,0.04,0.0,0.625,0.5833333333333334,12,13,1,0,71,69,25,27,0.01939171259440703,0.04,0.04166666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,410,1082,"(1, -1, 0.16901408450704225, 25)"
passage_retrieval_zh,7,7,0.16883116883116883,0.21621621621621623,0.0,0.0,0.6666666666666666,0.6041666666666666,13,16,0,0,77,74,19,22,0.047385047385047396,0.0,0.0625,3,True,low_support,stable,stable_low_fpr,aggregate_only,411,309,"(1, -1, 0.16883116883116883, 29)"
samsum,4,1,0.21428571428571427,0.16883116883116883,0.0,0.0,0.5729166666666666,0.6666666666666666,15,13,0,0,70,77,26,19,0.04545454545454544,0.0,0.09375,2,True,low_support,stable,stable_low_fpr,aggregate_only,412,287,"(1, -1, 0.16883116883116883, 28)"
passage_retrieval_zh,24,6,0.1917808219178082,0.16883116883116883,0.043478260869565216,0.0,0.625,0.6666666666666666,14,13,1,0,73,77,23,19,0.022949653086639377,0.043478260869565216,0.04166666666666663,1,True,low_support,stable,stable_low_fpr,aggregate_only,413,1096,"(1, -1, 0.16883116883116883, 27)"
passage_retrieval_zh,10,4,0.1686746987951807,0.1951219512195122,0.0,0.0,0.71875,0.6875,14,16,0,0,83,82,13,14,0.02644725242433149,0.0,0.03125,2,True,low_support,stable,stable_low_fpr,aggregate_only,414,419,"(1, -1, 0.1686746987951807, 30)"
samsum,10,4,0.21052631578947367,0.16666666666666666,0.0,0.0,0.625,0.6770833333333334,16,13,0,0,76,78,20,18,0.043859649122807015,0.0,0.05208333333333337,3,True,low_support,stable,stable_low_fpr,aggregate_only,415,331,"(1, -1, 0.16666666666666666, 29)"
dureader,7,4,0.1875,0.16666666666666666,0.0,0.0,0.6770833333333334,0.6770833333333334,15,13,0,0,80,78,16,18,0.020833333333333343,0.0,0.0,2,True,low_support,stable,stable_low_fpr,aggregate_only,416,371,"(1, -1, 0.16666666666666666, 28)"
samsum,29,2,0.16666666666666666,0.1917808219178082,0.0,0.0,0.625,0.6145833333333334,12,14,0,0,72,73,24,23,0.02511415525114155,0.0,0.01041666666666663,2,True,low_support,stable,stable_low_fpr,aggregate_only,417,294,"(1, -1, 0.16666666666666666, 26)"
passage_retrieval_en,31,7,0.2153846153846154,0.16666666666666666,0.03225806451612903,0.03333333333333333,0.5416666666666666,0.5833333333333334,14,11,1,1,65,66,31,30,0.04871794871794874,0.0010752688172043015,0.04166666666666674,3,True,low_support,stable,stable_low_fpr,aggregate_only,418,1115,"(1, -1, 0.16666666666666666, 25)"
samsum,26,1,0.16455696202531644,0.2,0.0,0.0,0.6875,0.625,13,15,0,0,79,75,17,21,0.03544303797468357,0.0,0.0625,2,True,low_support,stable,stable_low_fpr,aggregate_only,419,343,"(1, -1, 0.16455696202531644, 28)"
hotpotqa,22,4,0.1891891891891892,0.1643835616438356,0.0,0.0,0.625,0.6354166666666666,14,12,0,0,74,73,22,23,0.024805627545353592,0.0,0.01041666666666663,2,True,low_support,stable,stable_low_fpr,aggregate_only,420,305,"(1, -1, 0.1643835616438356, 26)"
