hardware,task,layer,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,gsm8k,29,0,62,15,0,3,80,80,62,65,15,0.0,0.046153846153846156,1.0,0.9538461538461539,0.775
v100,gsm8k,29,1,62,12,0,6,80,80,62,68,12,0.0,0.08823529411764706,1.0,0.9117647058823529,0.775
v100,gsm8k,29,2,55,15,0,10,80,80,55,65,15,0.0,0.15384615384615385,1.0,0.8461538461538461,0.6875
v100,gsm8k,29,3,63,11,0,6,80,80,63,69,11,0.0,0.08695652173913043,1.0,0.9130434782608695,0.7875
v100,gsm8k,29,4,65,11,0,4,80,80,65,69,11,0.0,0.057971014492753624,1.0,0.9420289855072463,0.8125
v100,gsm8k,29,5,65,12,0,3,80,80,65,68,12,0.0,0.04411764705882353,1.0,0.9558823529411765,0.8125
v100,gsm8k,29,6,70,10,0,0,80,80,70,70,10,0.0,0.0,1.0,1.0,0.875
v100,gsm8k,29,7,66,13,0,1,80,80,66,67,13,0.0,0.014925373134328358,1.0,0.9850746268656716,0.825
v100,gsm8k,3,0,54,17,0,9,80,80,54,63,17,0.0,0.14285714285714285,1.0,0.8571428571428571,0.675
v100,gsm8k,3,1,68,11,0,1,80,80,68,69,11,0.0,0.014492753623188406,1.0,0.9855072463768116,0.85
v100,gsm8k,3,2,62,15,0,3,80,80,62,65,15,0.0,0.046153846153846156,1.0,0.9538461538461539,0.775
v100,gsm8k,3,3,59,12,0,9,80,80,59,68,12,0.0,0.1323529411764706,1.0,0.8676470588235294,0.7375
v100,gsm8k,3,4,70,10,0,0,80,80,70,70,10,0.0,0.0,1.0,1.0,0.875
v100,gsm8k,3,5,50,14,0,16,80,80,50,66,14,0.0,0.24242424242424243,1.0,0.7575757575757576,0.625
v100,gsm8k,3,6,51,18,0,11,80,80,51,62,18,0.0,0.1774193548387097,1.0,0.8225806451612904,0.6375
v100,gsm8k,3,7,63,14,0,3,80,80,63,66,14,0.0,0.045454545454545456,1.0,0.9545454545454546,0.7875
v100,gsm8k,30,0,57,12,0,11,80,80,57,68,12,0.0,0.16176470588235295,1.0,0.8382352941176471,0.7125
v100,gsm8k,30,1,67,12,0,1,80,80,67,68,12,0.0,0.014705882352941176,1.0,0.9852941176470589,0.8375
