hardware,task_group,micro_fpr,micro_fnr,task_macro_fpr,task_macro_fnr,precision_micro,recall_micro,acceptance_micro,positive_support,negative_support,fn_opportunity_status,fp_penalty_status,current_confusion_cost_balance
v100,positive,0.015712455324027243,0.16443403113804989,0.015707945773737932,0.16453246853875148,0.9952878839970069,0.8355659688619501,0.6706678602430556,58899,14829,not_collected,not_collected,
v100,negative,0.015823766677008997,0.1559911860800851,0.015827365186894954,0.1560135593721343,0.9954296980016131,0.8440088139199149,0.68109130859375,39483,9669,not_collected,not_collected,
v100,gsm8k,0.011587848418415283,0.06837507953953838,0.011587848418415283,0.06837507953953838,0.997707842894313,0.9316249204604616,0.78818359375,17287,3193,not_collected,not_collected,
gpu4090,positive,0.015211191090588076,0.16640113894444256,0.015177527694138533,0.16647390259206285,0.9954663212435233,0.8335988610555575,0.6701388888888888,59002,14726,not_collected,not_collected,
gpu4090,negative,0.014667637574118382,0.1527099825488758,0.014666027771176723,0.15271529564420827,0.995808810415552,0.8472900174511242,0.6844482421875,39539,9613,not_collected,not_collected,
gpu4090,gsm8k,0.012237213680577345,0.06887179783727519,0.012237213680577345,0.06887179783727519,0.9975837928257233,0.9311282021627248,0.788134765625,17293,3187,not_collected,not_collected,
