method,max_success_B,first_OOM_B,first_failure_B,first_failure_class,TPOT_at_max_success_B,throughput_at_max_success_B,peak_allocated_at_max_success_B,peak_reserved_at_max_success_B,capacity_ratio_vs_FP16
FP16_FULL_MODEL,4,8,8,CUDA_OOM,40.71492864750326,98.23018307268744,20405783552,21363687424,1.0
KIVI_PAPER_G128_FULL_MODEL,8,16,16,CUDA_OOM,70.39567563333549,113.63050780262465,20715200512,22034776064,2.0
PATTERNKV_PAPER_FULL_MODEL,4,8,8,CUDA_OOM,399.7683301276993,10.005602568726284,19188539392,20428357632,1.0
CAUSAL_V4_25_FULL_MODEL,4,8,8,CUDA_OOM,407.4088921188377,9.817891091967475,19280044032,21013463040,1.0
