context_tokens,decode_tokens,capacity_backend,round,seed,backend,prefill_ms,cache_setup_ms,decode_total_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,tokens_per_sec,peak_allocated_bytes,peak_reserved_bytes,mixed_v_fused_calls,mixed_v_reference_calls,selector_calls,importance_update_calls,pack_calls,cache_concat_events,cache_concat_bytes,largest_cache_concat_bytes,profile_enabled
4096,128,baseline,0,24406605,fused,50.33606220968068,50.33606220968068,13970.633750915527,109.14557617902756,107.04434967041016,109.97760009765625,112.0153579711914,9.162075413480213,16341841920,16357785600,4096,0,0,0,0,0,0,0,False
4096,128,baseline,1,24406606,fused,51.499187014997005,51.499187014997005,14292.673538208008,111.66151201725006,107.53177261352539,120.21043395996094,122.69158172607422,8.955637282123806,16341841920,16357785600,4096,0,0,0,0,0,0,0,False
4096,128,baseline,2,24406607,fused,50.23713712580502,50.23713712580502,13779.15389251709,107.64963978528976,105.12947463989258,107.50975799560547,110.63603210449219,9.289394762439782,16341841920,16357785600,4096,0,0,0,0,0,0,0,False
4096,128,baseline,3,24406608,fused,50.815026042982936,50.815026042982936,13840.975914001465,108.13262432813644,105.46227264404297,108.21529388427734,113.79097747802734,9.247902806514952,16341841920,16357785600,4096,0,0,0,0,0,0,0,False
4096,128,baseline,4,24406609,fused,53.08675114065409,53.08675114065409,14346.73355102539,112.08385586738586,109.61715316772461,115.45088195800781,116.33049774169922,8.921891491520142,16341841920,16357785600,4096,0,0,0,0,0,0,0,False
4096,128,fixed_capacity,0,24406605,fused,80.54521307349205,80.54521307349205,12636.613639831543,98.72354406118393,95.81824111938477,101.03398132324219,106.08128356933594,10.129296000356813,17257996800,17284726784,4096,0,0,0,0,0,0,0,False
4096,128,fixed_capacity,1,24406606,fused,83.98658479563892,83.98658479563892,13016.621109008789,101.69235241413116,99.48057556152344,102.45426940917969,103.0123519897461,9.833581151978937,17257996800,17284726784,4096,0,0,0,0,0,0,0,False
4096,128,fixed_capacity,2,24406607,fused,82.9114899970591,82.9114899970591,12860.254203796387,100.47073596715927,98.51238632202148,101.18656158447266,103.23558044433594,9.953146957407265,17257996800,17284726784,4096,0,0,0,0,0,0,0,False
4096,128,fixed_capacity,3,24406608,fused,80.43050393462181,80.43050393462181,12535.862297058105,97.93642419576645,95.8028793334961,97.1673583984375,97.86470031738281,10.210705651260929,17257996800,17284726784,4096,0,0,0,0,0,0,0,False
4096,128,fixed_capacity,4,24406609,fused,79.25045397132635,79.25045397132635,12473.622581481934,97.4501764178276,95.38969421386719,96.59494018554688,97.37932586669922,10.261654075539049,17257996800,17284726784,4096,0,0,0,0,0,0,0,False
4096,128,chunked_capacity,0,24406605,fused,69.73609188571572,69.73609188571572,12504.739868164062,97.69328022003174,95.46137619018555,96.87142181396484,98.34393310546875,10.236118571796638,16352387584,16366174208,4096,0,0,0,0,0,0,0,False
4096,128,chunked_capacity,1,24406606,fused,71.80721894837916,71.80721894837916,12553.380859375,98.07328796386719,95.66361236572266,97.55033874511719,99.62496185302734,10.196456351788946,16352387584,16366174208,4096,0,0,0,0,0,0,0,False
4096,128,chunked_capacity,2,24406607,fused,69.53153805807233,69.53153805807233,13003.728904724121,101.5916320681572,99.76166152954102,102.4563217163086,103.41375732421875,9.843330396829398,16352387584,16366174208,4096,0,0,0,0,0,0,0,False
4096,128,chunked_capacity,3,24406608,fused,75.32781595364213,75.32781595364213,13254.049797058105,103.54726403951645,101.7630729675293,103.9820785522461,105.08390045166016,9.657425614049762,16352387584,16366174208,4096,0,0,0,0,0,0,0,False
4096,128,chunked_capacity,4,24406609,fused,73.18131509236991,73.18131509236991,12521.39315032959,97.82338398694992,95.4751968383789,97.1878433227539,99.67411041259766,10.222504673661714,16352387584,16366174208,4096,0,0,0,0,0,0,0,False
8192,128,baseline,0,28539469,fused,55.72215490974486,55.72215490974486,14258.266105651855,111.39270395040512,108.49382400512695,114.11148834228516,115.29523468017578,8.977248639598743,16555657216,16575889408,4096,0,0,0,0,0,0,0,False
8192,128,baseline,1,28539470,fused,52.48135305009782,52.48135305009782,13989.178405761719,109.29045629501343,107.05971145629883,108.06578826904297,109.39904022216797,9.149929773379734,16555657216,16575889408,4096,0,0,0,0,0,0,0,False
8192,128,baseline,2,28539471,fused,51.296689081937075,51.296689081937075,14151.718894958496,110.56030386686325,107.22662353515625,114.8221435546875,119.6226577758789,9.044837658950362,16555657216,16575889408,4096,0,0,0,0,0,0,0,False
8192,128,baseline,3,28539472,fused,52.60501918382943,52.60501918382943,14255.677505493164,111.37248051166534,109.2254753112793,111.49311828613281,112.4874267578125,8.97887876256162,16555657216,16575889408,4096,0,0,0,0,0,0,0,False
8192,128,baseline,4,28539473,fused,52.86113591864705,52.86113591864705,14121.668601989746,110.32553595304489,108.35712051391602,110.22745513916016,110.82649230957031,9.064084677781263,16555657216,16575889408,4096,0,0,0,0,0,0,0,False
8192,128,fixed_capacity,0,28539469,fused,82.10820192471147,82.10820192471147,12965.8941116333,101.29604774713516,99.3146858215332,100.74726104736328,100.96332550048828,9.872053473362506,17349902848,17372807168,4096,0,0,0,0,0,0,0,False
