component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,context_tokens,decode_tokens,backend,profile_on_tpot_ms,profile_on_shares_approximate
attention_score_concat,4096,32.0,247637.53920421004,60.45838359477784,1.2338817619620936,67373056,0,16384,128,baseline,156.79527282714844,True
attention_softmax,4096,32.0,191610.88090017438,46.780000219769136,0.9547226648107341,67373056,0,16384,128,baseline,156.79527282714844,True
cache_append,4096,32.0,2759741.4062023163,673.7649917486124,13.750720507833122,0,0,16384,128,baseline,156.79527282714844,True
cache_cat_events,16672,130.25,0.0,0.0,0.0,0,3671126016,16384,128,baseline,156.79527282714844,True
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,4681728,16384,128,baseline,156.79527282714844,True
cache_mutation,16672,130.25,540918.4988508932,32.444727618215765,2.6951869760329292,0,3671126016,16384,128,baseline,156.79527282714844,True
centroid_update,32,0.25,5393.408000469208,168.54400001466274,0.02687325915119682,4096,0,16384,128,baseline,156.79527282714844,True
decode_decoder_model_forward,128,1.0,19916078.033447266,155594.35963630676,99.2340883948934,0,0,16384,128,baseline,156.79527282714844,True
decode_lm_head,128,1.0,152771.58761024475,1193.5280282050371,0.7612015379575798,0,0,16384,128,baseline,156.79527282714844,True
importance_update,4096,32.0,616901.6362577677,150.61075103949406,3.0737814644303016,67373056,0,16384,128,baseline,156.79527282714844,True
mixed_v_fused_attention,4096,32.0,4775941.127896309,1166.0012519278098,23.796661333548503,0,0,16384,128,baseline,156.79527282714844,True
mixed_v_kernel_launches,8192,64.0,0.0,0.0,0.0,0,0,16384,128,baseline,156.79527282714844,True
mixed_v_layout_prepare_v2,4096,32.0,921078.4959793091,224.8726796824485,4.589376720413735,49892352,0,16384,128,baseline,156.79527282714844,True
mixed_v_layout_prepare_v4,4096,32.0,809912.3212248087,197.73250029902556,4.035478809711442,16630784,0,16384,128,baseline,156.79527282714844,True
mixed_v_mapping_prepare,4096,32.0,570980.1605641842,139.39945326274028,2.84497257090478,66523136,0,16384,128,baseline,156.79527282714844,True
mixed_v_output_reduce,4096,32.0,108486.65650747716,26.486000123895792,0.5405469110660046,0,0,16384,128,baseline,156.79527282714844,True
mixed_v_v2_compute,4096,32.0,1056884.738072753,258.0285005060432,5.266046525073384,49892352,0,16384,128,baseline,156.79527282714844,True
mixed_v_v4_compute,4096,32.0,604099.2023795843,147.4851568309532,3.009991904407297,16630784,0,16384,128,baseline,156.79527282714844,True
output_projection,4096,32.0,414209.015481174,101.1252479202085,2.063842790091036,0,0,16384,128,baseline,156.79527282714844,True
pack_k,32,0.25,10704.896003007889,334.5280000939965,0.05333834274180912,4096,0,16384,128,baseline,156.79527282714844,True
pack_total,32,0.25,53571.58410549164,1674.1120032966137,0.2669264151129989,4096,0,16384,128,baseline,156.79527282714844,True
pack_v2,32,0.25,10221.568077802658,319.42400243133307,0.05093010724619661,3072,0,16384,128,baseline,156.79527282714844,True
pack_v4,32,0.25,9860.096037387848,308.12800116837025,0.04912903233824712,1024,0,16384,128,baseline,156.79527282714844,True
pack_window,32,0.25,286003.19957733154,8937.59998679161,1.4250429597843244,4096,0,16384,128,baseline,156.79527282714844,True
pattern_assignment,32,0.25,16667.648017406464,520.864000543952,0.08304842218013708,4096,0,16384,128,baseline,156.79527282714844,True
