task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std
passage_retrieval_zh,decode,k,11,7,bucketfirst,relative_mse_gain,1,0.008057387352158898,0.0
passage_retrieval_zh,decode,k,11,7,bucketfirst,relative_range_gain,1,0.0247452692867517,0.0
passage_retrieval_zh,decode,k,12,0,bucketfirst,relative_mse_gain,1,0.007957298854305071,0.0
passage_retrieval_zh,decode,k,12,0,bucketfirst,relative_range_gain,1,0.05788655788655213,0.0
passage_retrieval_zh,decode,k,12,1,bucketfirst,relative_mse_gain,1,-0.02069463937095131,0.0
passage_retrieval_zh,decode,k,12,1,bucketfirst,relative_range_gain,1,0.18214607754732592,0.0
passage_retrieval_zh,decode,k,12,2,bucketfirst,relative_mse_gain,1,-0.02340000836940904,0.0
passage_retrieval_zh,decode,k,12,2,bucketfirst,relative_range_gain,1,0.0,0.0
passage_retrieval_zh,decode,k,12,3,bucketfirst,relative_mse_gain,1,0.028355223674684626,0.0
passage_retrieval_zh,decode,k,12,3,bucketfirst,relative_range_gain,1,0.025806451612900856,0.0
passage_retrieval_zh,decode,k,12,4,bucketfirst,relative_mse_gain,1,-0.0071200407114752565,0.0
passage_retrieval_zh,decode,k,12,4,bucketfirst,relative_range_gain,1,0.0500927643784747,0.0
passage_retrieval_zh,decode,k,12,5,bucketfirst,relative_mse_gain,1,0.012550142876815157,0.0
passage_retrieval_zh,decode,k,12,5,bucketfirst,relative_range_gain,1,0.0047895997263081675,0.0
passage_retrieval_zh,decode,k,12,6,bucketfirst,relative_mse_gain,1,0.03680940730717762,0.0
passage_retrieval_zh,decode,k,12,6,bucketfirst,relative_range_gain,1,0.10338627509738493,0.0
passage_retrieval_zh,decode,k,12,7,bucketfirst,relative_mse_gain,1,0.00026729939923993373,0.0
passage_retrieval_zh,decode,k,12,7,bucketfirst,relative_range_gain,1,0.05839942321556779,0.0
passage_retrieval_zh,decode,k,13,0,bucketfirst,relative_mse_gain,1,-0.006178309656510817,0.0
passage_retrieval_zh,decode,k,13,0,bucketfirst,relative_range_gain,1,0.0,0.0
passage_retrieval_zh,decode,k,13,1,bucketfirst,relative_mse_gain,1,-0.017354757006569577,0.0
passage_retrieval_zh,decode,k,13,1,bucketfirst,relative_range_gain,1,-0.07219324732362929,0.0
passage_retrieval_zh,decode,k,13,2,bucketfirst,relative_mse_gain,1,-0.002061866967910059,0.0
passage_retrieval_zh,decode,k,13,2,bucketfirst,relative_range_gain,1,0.012132650310055781,0.0
passage_retrieval_zh,decode,k,13,3,bucketfirst,relative_mse_gain,1,-0.035079774524300264,0.0
passage_retrieval_zh,decode,k,13,3,bucketfirst,relative_range_gain,1,0.055393586005827146,0.0
