task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std
passage_retrieval_zh,decode,v,15,3,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,15,4,bucketfirst,candidate_gate_accepted_fraction,1,0.1484375,0.0
passage_retrieval_zh,decode,v,15,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0390625,0.0
passage_retrieval_zh,decode,v,15,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,15,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,16,0,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,16,1,bucketfirst,candidate_gate_accepted_fraction,1,0.1484375,0.0
passage_retrieval_zh,decode,v,16,2,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,16,3,bucketfirst,candidate_gate_accepted_fraction,1,0.1171875,0.0
passage_retrieval_zh,decode,v,16,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,16,5,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,16,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,16,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,17,0,bucketfirst,candidate_gate_accepted_fraction,1,0.1640625,0.0
passage_retrieval_zh,decode,v,17,1,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,17,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,17,3,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,17,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,17,5,bucketfirst,candidate_gate_accepted_fraction,1,0.1015625,0.0
passage_retrieval_zh,decode,v,17,6,bucketfirst,candidate_gate_accepted_fraction,1,0.125,0.0
passage_retrieval_zh,decode,v,17,7,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,18,0,bucketfirst,candidate_gate_accepted_fraction,1,0.1953125,0.0
passage_retrieval_zh,decode,v,18,1,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,18,2,bucketfirst,candidate_gate_accepted_fraction,1,0.03125,0.0
passage_retrieval_zh,decode,v,18,3,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,18,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,18,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,18,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0390625,0.0
passage_retrieval_zh,decode,v,18,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,19,0,bucketfirst,candidate_gate_accepted_fraction,1,0.0390625,0.0
passage_retrieval_zh,decode,v,19,1,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,19,2,bucketfirst,candidate_gate_accepted_fraction,1,0.171875,0.0
passage_retrieval_zh,decode,v,19,3,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,19,4,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,19,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,19,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,19,7,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,2,0,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,2,1,bucketfirst,candidate_gate_accepted_fraction,1,0.015625,0.0
passage_retrieval_zh,decode,v,2,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,2,3,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,2,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,2,5,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,2,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0234375,0.0
