variant,kv_head,ref_centroid,test_centroid,l2_cost
scaled_real_delta_1,0,14,14,0.005524271633476019
scaled_real_delta_1,0,15,15,0.0078125
scaled_real_delta_1,0,16,16,0.44345831871032715
scaled_real_delta_1,0,17,17,0.0
scaled_real_delta_1,0,18,18,0.8045358061790466
scaled_real_delta_1,0,19,19,0.6577132344245911
scaled_real_delta_1,0,20,20,0.0
scaled_real_delta_1,0,21,21,1.5501168966293335
scaled_real_delta_1,0,22,22,0.0078125
scaled_real_delta_1,0,23,23,0.0
scaled_real_delta_1,0,24,24,1.1516351699829102
scaled_real_delta_1,0,25,25,0.009568319655954838
scaled_real_delta_1,0,26,26,0.0078125
scaled_real_delta_1,0,27,27,0.7521534562110901
scaled_real_delta_1,0,28,28,0.005524271633476019
scaled_real_delta_1,0,29,29,1.1648486852645874
scaled_real_delta_1,0,30,30,1.5307615995407104
scaled_real_delta_1,0,31,31,3.5741782188415527
scaled_real_delta_1,1,0,0,0.005524271633476019
scaled_real_delta_1,1,1,1,0.00390625
scaled_real_delta_1,1,2,2,0.0078125
scaled_real_delta_1,1,3,3,0.00390625
scaled_real_delta_1,1,4,4,0.0078125
scaled_real_delta_1,1,5,5,0.006765823345631361
scaled_real_delta_1,1,6,6,0.00390625
scaled_real_delta_1,1,7,7,0.0
scaled_real_delta_1,1,8,8,0.005524271633476019
scaled_real_delta_1,1,9,9,0.00390625
scaled_real_delta_1,1,10,10,0.005524271633476019
scaled_real_delta_1,1,11,11,0.005524271633476019
scaled_real_delta_1,1,12,12,0.005524271633476019
scaled_real_delta_1,1,13,13,0.008734640665352345
scaled_real_delta_1,1,14,14,0.0078125
scaled_real_delta_1,1,15,15,0.005524271633476019
scaled_real_delta_1,1,16,16,0.0
scaled_real_delta_1,1,17,17,0.0078125
scaled_real_delta_1,1,18,18,0.0
scaled_real_delta_1,1,19,19,0.00390625
scaled_real_delta_1,1,20,20,0.005524271633476019
scaled_real_delta_1,1,21,21,0.00390625
scaled_real_delta_1,1,22,22,0.0078125
scaled_real_delta_1,1,23,23,0.005524271633476019
scaled_real_delta_1,1,24,24,0.00390625
scaled_real_delta_1,1,25,25,0.00390625
scaled_real_delta_1,1,26,26,0.00390625
scaled_real_delta_1,1,27,27,0.00390625
scaled_real_delta_1,1,28,28,0.00390625
scaled_real_delta_1,1,29,29,0.005524271633476019
scaled_real_delta_1,1,30,30,0.0
scaled_real_delta_1,1,31,31,0.005524271633476019
scaled_real_delta_1,2,0,0,0.0
scaled_real_delta_1,2,1,1,0.006765823345631361
scaled_real_delta_1,2,2,2,0.0078125
scaled_real_delta_1,2,3,3,0.005524271633476019
scaled_real_delta_1,2,4,4,0.00390625
scaled_real_delta_1,2,5,5,0.0
scaled_real_delta_1,2,6,6,0.0
scaled_real_delta_1,2,7,7,0.0
scaled_real_delta_1,2,8,8,0.0
scaled_real_delta_1,2,9,9,0.005524271633476019
scaled_real_delta_1,2,10,10,0.0
scaled_real_delta_1,2,11,11,0.0
scaled_real_delta_1,2,12,12,0.005524271633476019
scaled_real_delta_1,2,13,13,0.0
scaled_real_delta_1,2,14,14,0.0078125
scaled_real_delta_1,2,15,15,0.0
scaled_real_delta_1,2,16,16,0.00390625
scaled_real_delta_1,2,17,17,0.005524271633476019
scaled_real_delta_1,2,18,18,0.0
scaled_real_delta_1,2,19,19,0.005524271633476019
scaled_real_delta_1,2,20,20,0.0
scaled_real_delta_1,2,21,21,0.0
scaled_real_delta_1,2,22,22,0.004784159827977419
scaled_real_delta_1,2,23,23,0.005524271633476019
scaled_real_delta_1,2,24,24,0.0
scaled_real_delta_1,2,25,25,0.0
scaled_real_delta_1,2,26,26,0.00390625
scaled_real_delta_1,2,27,27,0.0
scaled_real_delta_1,2,28,28,0.0
scaled_real_delta_1,2,29,29,0.0
scaled_real_delta_1,2,30,30,0.00390625
scaled_real_delta_1,2,31,31,0.0
scaled_real_delta_1,3,0,0,1.9454870223999023
scaled_real_delta_1,3,1,1,0.5746504068374634
scaled_real_delta_1,3,2,2,0.004784159827977419
scaled_real_delta_1,3,3,3,0.0027621358167380095
scaled_real_delta_1,3,4,4,0.0
scaled_real_delta_1,3,5,5,0.00390625
scaled_real_delta_1,3,6,6,0.004784159827977419
scaled_real_delta_1,3,7,7,0.0
scaled_real_delta_1,3,8,8,0.0027621358167380095
scaled_real_delta_1,3,9,9,0.6506867408752441
scaled_real_delta_1,3,10,10,1.5809940099716187
scaled_real_delta_1,3,11,11,0.5345642566680908
scaled_real_delta_1,3,12,12,0.0
scaled_real_delta_1,3,13,13,0.9909102320671082
scaled_real_delta_1,3,14,14,0.45238354802131653
scaled_real_delta_1,3,15,15,0.5037018060684204
scaled_real_delta_1,3,16,16,0.0
scaled_real_delta_1,3,17,17,0.0
scaled_real_delta_1,3,18,18,0.5661367774009705
scaled_real_delta_1,3,19,19,0.0
scaled_real_delta_1,3,20,20,0.0
scaled_real_delta_1,3,21,21,0.005524271633476019
scaled_real_delta_1,3,22,22,0.004784159827977419
scaled_real_delta_1,3,23,23,0.6960527300834656
scaled_real_delta_1,3,24,24,0.0027621358167380095
scaled_real_delta_1,3,25,25,0.0
scaled_real_delta_1,3,26,26,0.8791579604148865
scaled_real_delta_1,3,27,27,0.0027621358167380095
scaled_real_delta_1,3,28,28,0.0
scaled_real_delta_1,3,29,29,0.00390625
scaled_real_delta_1,3,30,30,0.0027621358167380095
scaled_real_delta_1,3,31,31,0.44537246227264404
scaled_real_delta_1,4,0,0,0.00390625
scaled_real_delta_1,4,1,1,0.00390625
scaled_real_delta_1,4,2,2,0.004784159827977419
scaled_real_delta_1,4,3,3,0.00390625
scaled_real_delta_1,4,4,4,0.0027621358167380095
scaled_real_delta_1,4,5,5,0.0
scaled_real_delta_1,4,6,6,0.0
scaled_real_delta_1,4,7,7,0.0
scaled_real_delta_1,4,8,8,0.0
scaled_real_delta_1,4,9,9,0.0
scaled_real_delta_1,4,10,10,0.004784159827977419
scaled_real_delta_1,4,11,11,0.00390625
scaled_real_delta_1,4,12,12,0.00390625
scaled_real_delta_1,4,13,13,0.004784159827977419
scaled_real_delta_1,4,14,14,0.005524271633476019
scaled_real_delta_1,4,15,15,0.0027621358167380095
scaled_real_delta_1,4,16,16,0.0
scaled_real_delta_1,4,17,17,0.004784159827977419
scaled_real_delta_1,4,18,18,0.004784159827977419
scaled_real_delta_1,4,19,19,0.0
scaled_real_delta_1,4,20,20,0.0
scaled_real_delta_1,4,21,21,0.004784159827977419
scaled_real_delta_1,4,22,22,0.00390625
scaled_real_delta_1,4,23,23,0.006765823345631361
scaled_real_delta_1,4,24,24,0.00390625
scaled_real_delta_1,4,25,25,0.004784159827977419
scaled_real_delta_1,4,26,26,0.005524271633476019
scaled_real_delta_1,4,27,27,0.00390625
scaled_real_delta_1,4,28,28,0.0027621358167380095
scaled_real_delta_1,4,29,29,0.005524271633476019
scaled_real_delta_1,4,30,30,0.00390625
scaled_real_delta_1,4,31,31,0.0
scaled_real_delta_1,5,0,0,0.0
scaled_real_delta_1,5,1,1,0.0
scaled_real_delta_1,5,2,2,0.00390625
scaled_real_delta_1,5,3,3,0.005524271633476019
scaled_real_delta_1,5,4,4,0.0078125
scaled_real_delta_1,5,5,5,0.00390625
scaled_real_delta_1,5,6,6,3.672454595565796
scaled_real_delta_1,5,7,7,0.7177940607070923
scaled_real_delta_1,5,8,8,0.00390625
scaled_real_delta_1,5,9,9,0.005524271633476019
scaled_real_delta_1,5,10,10,0.0078125
scaled_real_delta_1,5,11,11,0.0
scaled_real_delta_1,5,12,12,0.005524271633476019
scaled_real_delta_1,5,13,13,0.6531385779380798
scaled_real_delta_1,5,14,14,0.0
scaled_real_delta_1,5,15,15,0.006765823345631361
scaled_real_delta_1,5,16,16,0.0
scaled_real_delta_1,5,17,17,0.6511263251304626
scaled_real_delta_1,5,18,18,0.0
scaled_real_delta_1,5,19,19,0.0078125
scaled_real_delta_1,5,20,20,0.005524271633476019
scaled_real_delta_1,5,21,21,0.006765823345631361
scaled_real_delta_1,5,22,22,0.0078125
scaled_real_delta_1,5,23,23,0.0027621358167380095
scaled_real_delta_1,5,24,24,0.005524271633476019
scaled_real_delta_1,5,25,25,0.00390625
scaled_real_delta_1,5,26,26,0.00390625
scaled_real_delta_1,5,27,27,0.005524271633476019
scaled_real_delta_1,5,28,28,0.00390625
scaled_real_delta_1,5,29,29,0.0
scaled_real_delta_1,5,30,30,0.0
scaled_real_delta_1,5,31,31,0.005524271633476019
scaled_real_delta_1,6,0,0,0.0078125
scaled_real_delta_1,6,1,1,0.0
scaled_real_delta_1,6,2,2,0.009568319655954838
scaled_real_delta_1,6,3,3,0.0027621358167380095
scaled_real_delta_1,6,4,4,0.0
scaled_real_delta_1,6,5,5,0.0078125
scaled_real_delta_1,6,6,6,0.005524271633476019
scaled_real_delta_1,6,7,7,0.0
scaled_real_delta_1,6,8,8,0.0
scaled_real_delta_1,6,9,9,0.0
scaled_real_delta_1,6,10,10,0.0
scaled_real_delta_1,6,11,11,0.0
scaled_real_delta_1,6,12,12,0.0
scaled_real_delta_1,6,13,13,0.005524271633476019
scaled_real_delta_1,6,14,14,0.0
scaled_real_delta_1,6,15,15,0.009568319655954838
scaled_real_delta_1,6,16,16,0.0078125
scaled_real_delta_1,6,17,17,0.0
scaled_real_delta_1,6,18,18,0.006765823345631361
scaled_real_delta_1,6,19,19,0.005524271633476019
scaled_real_delta_1,6,20,20,0.0
scaled_real_delta_1,6,21,21,0.009568319655954838
scaled_real_delta_1,6,22,22,0.005524271633476019
scaled_real_delta_1,6,23,23,0.0
scaled_real_delta_1,6,24,24,0.005524271633476019
scaled_real_delta_1,6,25,25,0.0078125
scaled_real_delta_1,6,26,26,0.0
scaled_real_delta_1,6,27,27,0.0078125
scaled_real_delta_1,6,28,28,0.0
scaled_real_delta_1,6,29,29,0.00390625
scaled_real_delta_1,6,30,30,0.0
scaled_real_delta_1,6,31,31,0.0078125
scaled_real_delta_1,7,0,0,0.0027621358167380095
scaled_real_delta_1,7,1,1,1.714587926864624
scaled_real_delta_1,7,2,2,0.0
scaled_real_delta_1,7,3,3,0.00390625
scaled_real_delta_1,7,4,4,0.005524271633476019
scaled_real_delta_1,7,5,5,1.1714061498641968
scaled_real_delta_1,7,6,6,0.605588436126709
scaled_real_delta_1,7,7,7,0.3155309557914734
scaled_real_delta_1,7,8,8,0.7440970540046692
scaled_real_delta_1,7,9,9,0.00390625
scaled_real_delta_1,7,10,10,1.5511821508407593
scaled_real_delta_1,7,11,11,0.001953125
scaled_real_delta_1,7,12,12,1.4993844032287598
scaled_real_delta_1,7,13,13,0.0027621358167380095
scaled_real_delta_1,7,14,14,0.6064696907997131
scaled_real_delta_1,7,15,15,0.0
scaled_real_delta_1,7,16,16,5.6010026931762695
scaled_real_delta_1,7,17,17,1.5176271200180054
scaled_real_delta_1,7,18,18,0.00390625
scaled_real_delta_1,7,19,19,0.004784159827977419
scaled_real_delta_1,7,20,20,0.5446032881736755
scaled_real_delta_1,7,21,21,0.0
scaled_real_delta_1,7,22,22,0.00390625
scaled_real_delta_1,7,23,23,0.006176323629915714
scaled_real_delta_1,7,24,24,0.0
scaled_real_delta_1,7,25,25,0.006765823345631361
scaled_real_delta_1,7,26,26,1.4408106803894043
scaled_real_delta_1,7,27,27,0.8894463777542114
scaled_real_delta_1,7,28,28,2.0870325565338135
scaled_real_delta_1,7,29,29,0.00390625
scaled_real_delta_1,7,30,30,0.006765823345631361
scaled_real_delta_1,7,31,31,0.00390625
scaled_real_delta_2,0,0,0,1.6713730096817017
scaled_real_delta_2,0,1,1,1.9162057638168335
scaled_real_delta_2,0,2,2,1.1736445426940918
scaled_real_delta_2,0,3,3,0.012352647259831429
scaled_real_delta_2,0,4,4,2.015087366104126
scaled_real_delta_2,0,5,5,0.005524271633476019
scaled_real_delta_2,0,6,6,0.7883273363113403
scaled_real_delta_2,0,7,7,1.3652888536453247
scaled_real_delta_2,0,8,8,0.0078125
scaled_real_delta_2,0,9,9,0.0078125
scaled_real_delta_2,0,10,10,1.4143970012664795
scaled_real_delta_2,0,11,11,0.0078125
scaled_real_delta_2,0,12,12,0.005524271633476019
scaled_real_delta_2,0,13,13,0.9088560342788696
scaled_real_delta_2,0,14,14,0.0078125
scaled_real_delta_2,0,15,15,0.005524271633476019
scaled_real_delta_2,0,16,16,0.7412411570549011
scaled_real_delta_2,0,17,17,2.228466749191284
scaled_real_delta_2,0,18,18,0.9410252571105957
scaled_real_delta_2,0,19,19,0.657666802406311
scaled_real_delta_2,0,20,20,1.0150388479232788
scaled_real_delta_2,0,21,21,1.5501857995986938
scaled_real_delta_2,0,22,22,0.0078125
scaled_real_delta_2,0,23,23,0.6375210881233215
scaled_real_delta_2,0,24,24,1.15152907371521
scaled_real_delta_2,0,25,25,0.0078125
scaled_real_delta_2,0,26,26,0.0078125
scaled_real_delta_2,0,27,27,0.7522143125534058
scaled_real_delta_2,0,28,28,0.0
scaled_real_delta_2,0,29,29,1.1649534702301025
scaled_real_delta_2,0,30,30,1.5309311151504517
scaled_real_delta_2,0,31,31,3.5741140842437744
scaled_real_delta_2,1,0,0,0.006765823345631361
scaled_real_delta_2,1,1,1,0.0
scaled_real_delta_2,1,2,2,0.0078125
scaled_real_delta_2,1,3,3,0.0078125
scaled_real_delta_2,1,4,4,0.0078125
scaled_real_delta_2,1,5,5,0.005524271633476019
scaled_real_delta_2,1,6,6,0.0078125
scaled_real_delta_2,1,7,7,0.00390625
scaled_real_delta_2,1,8,8,0.005524271633476019
scaled_real_delta_2,1,9,9,0.005524271633476019
scaled_real_delta_2,1,10,10,0.006765823345631361
scaled_real_delta_2,1,11,11,0.008734640665352345
scaled_real_delta_2,1,12,12,0.00390625
scaled_real_delta_2,1,13,13,0.005524271633476019
scaled_real_delta_2,1,14,14,0.006765823345631361
scaled_real_delta_2,1,15,15,0.0078125
scaled_real_delta_2,1,16,16,0.005524271633476019
scaled_real_delta_2,1,17,17,0.0078125
scaled_real_delta_2,1,18,18,0.005524271633476019
scaled_real_delta_2,1,19,19,0.0078125
scaled_real_delta_2,1,20,20,0.0078125
scaled_real_delta_2,1,21,21,0.005524271633476019
scaled_real_delta_2,1,22,22,0.009568319655954838
scaled_real_delta_2,1,23,23,0.006765823345631361
scaled_real_delta_2,1,24,24,0.005524271633476019
scaled_real_delta_2,1,25,25,0.00390625
scaled_real_delta_2,1,26,26,0.006765823345631361
scaled_real_delta_2,1,27,27,0.005524271633476019
scaled_real_delta_2,1,28,28,0.005524271633476019
scaled_real_delta_2,1,29,29,0.005524271633476019
scaled_real_delta_2,1,30,30,0.0078125
scaled_real_delta_2,1,31,31,0.006765823345631361
scaled_real_delta_2,2,0,0,0.0
scaled_real_delta_2,2,1,1,0.005524271633476019
scaled_real_delta_2,2,2,2,0.012352647259831429
scaled_real_delta_2,2,3,3,0.011048543266952038
scaled_real_delta_2,2,4,4,0.0
scaled_real_delta_2,2,5,5,0.0
scaled_real_delta_2,2,6,6,0.005524271633476019
scaled_real_delta_2,2,7,7,0.00390625
scaled_real_delta_2,2,8,8,0.00390625
scaled_real_delta_2,2,9,9,0.00390625
scaled_real_delta_2,2,10,10,0.0
scaled_real_delta_2,2,11,11,0.00390625
scaled_real_delta_2,2,12,12,0.005524271633476019
scaled_real_delta_2,2,13,13,0.005524271633476019
scaled_real_delta_2,2,14,14,0.009568319655954838
scaled_real_delta_2,2,15,15,0.006765823345631361
scaled_real_delta_2,2,16,16,0.0
scaled_real_delta_2,2,17,17,0.005524271633476019
scaled_real_delta_2,2,18,18,0.0
scaled_real_delta_2,2,19,19,0.008286407217383385
scaled_real_delta_2,2,20,20,0.0
scaled_real_delta_2,2,21,21,0.005524271633476019
scaled_real_delta_2,2,22,22,0.005524271633476019
scaled_real_delta_2,2,23,23,0.009568319655954838
scaled_real_delta_2,2,24,24,0.008734640665352345
scaled_real_delta_2,2,25,25,0.005524271633476019
scaled_real_delta_2,2,26,26,0.0
scaled_real_delta_2,2,27,27,0.0
scaled_real_delta_2,2,28,28,0.006765823345631361
scaled_real_delta_2,2,29,29,0.00390625
scaled_real_delta_2,2,30,30,0.004784159827977419
scaled_real_delta_2,2,31,31,0.005524271633476019
scaled_real_delta_2,3,0,0,1.9449712038040161
scaled_real_delta_2,3,1,1,0.5746105909347534
scaled_real_delta_2,3,2,2,0.0027621358167380095
scaled_real_delta_2,3,3,3,0.0027621358167380095
scaled_real_delta_2,3,4,4,0.006765823345631361
scaled_real_delta_2,3,5,5,0.00390625
scaled_real_delta_2,3,6,6,0.00390625
scaled_real_delta_2,3,7,7,0.00390625
scaled_real_delta_2,3,8,8,0.00390625
scaled_real_delta_2,3,9,9,0.6511731743812561
scaled_real_delta_2,3,10,10,1.5809072256088257
scaled_real_delta_2,3,11,11,0.5345357656478882
scaled_real_delta_2,3,12,12,0.004784159827977419
scaled_real_delta_2,3,13,13,0.9910950064659119
scaled_real_delta_2,3,14,14,0.4524172842502594
scaled_real_delta_2,3,15,15,0.5036109089851379
scaled_real_delta_2,3,16,16,0.0
scaled_real_delta_2,3,17,17,0.00390625
scaled_real_delta_2,3,18,18,0.5659480690956116
scaled_real_delta_2,3,19,19,0.0027621358167380095
scaled_real_delta_2,3,20,20,0.0
scaled_real_delta_2,3,21,21,0.006176323629915714
scaled_real_delta_2,3,22,22,0.00390625
scaled_real_delta_2,3,23,23,0.695838987827301
scaled_real_delta_2,3,24,24,0.0
scaled_real_delta_2,3,25,25,0.0
scaled_real_delta_2,3,26,26,0.8793097734451294
scaled_real_delta_2,3,27,27,0.00390625
scaled_real_delta_2,3,28,28,0.0027621358167380095
scaled_real_delta_2,3,29,29,0.0027621358167380095
scaled_real_delta_2,3,30,30,0.0
scaled_real_delta_2,3,31,31,0.44550949335098267
scaled_real_delta_2,4,0,0,0.005524271633476019
scaled_real_delta_2,4,1,1,0.0027621358167380095
scaled_real_delta_2,4,2,2,0.004784159827977419
scaled_real_delta_2,4,3,3,0.00390625
scaled_real_delta_2,4,4,4,0.0
scaled_real_delta_2,4,5,5,0.0
scaled_real_delta_2,4,6,6,0.005524271633476019
scaled_real_delta_2,4,7,7,0.00390625
scaled_real_delta_2,4,8,8,0.0027621358167380095
scaled_real_delta_2,4,9,9,0.0
scaled_real_delta_2,4,10,10,0.0027621358167380095
scaled_real_delta_2,4,11,11,0.0
scaled_real_delta_2,4,12,12,0.004784159827977419
scaled_real_delta_2,4,13,13,0.0027621358167380095
scaled_real_delta_2,4,14,14,0.00390625
scaled_real_delta_2,4,15,15,0.004784159827977419
scaled_real_delta_2,4,16,16,0.005524271633476019
scaled_real_delta_2,4,17,17,0.00390625
scaled_real_delta_2,4,18,18,0.004784159827977419
scaled_real_delta_2,4,19,19,0.0027621358167380095
scaled_real_delta_2,4,20,20,0.00390625
scaled_real_delta_2,4,21,21,0.0
scaled_real_delta_2,4,22,22,0.00390625
scaled_real_delta_2,4,23,23,0.006765823345631361
scaled_real_delta_2,4,24,24,0.0
scaled_real_delta_2,4,25,25,0.00390625
scaled_real_delta_2,4,26,26,0.0078125
scaled_real_delta_2,4,27,27,0.0027621358167380095
scaled_real_delta_2,4,28,28,0.0
scaled_real_delta_2,4,29,29,0.00390625
scaled_real_delta_2,4,30,30,0.00390625
scaled_real_delta_2,4,31,31,0.0
scaled_real_delta_2,5,0,0,0.006765823345631361
scaled_real_delta_2,5,1,1,0.0
scaled_real_delta_2,5,2,2,0.005524271633476019
scaled_real_delta_2,5,3,3,0.006765823345631361
scaled_real_delta_2,5,4,4,0.00390625
scaled_real_delta_2,5,5,5,0.0078125
scaled_real_delta_2,5,6,6,3.6724462509155273
scaled_real_delta_2,5,7,7,0.7179003357887268
scaled_real_delta_2,5,8,8,0.0078125
scaled_real_delta_2,5,9,9,0.005524271633476019
scaled_real_delta_2,5,10,10,0.00390625
scaled_real_delta_2,5,11,11,0.006765823345631361
scaled_real_delta_2,5,12,12,0.006765823345631361
scaled_real_delta_2,5,13,13,0.6532787084579468
scaled_real_delta_2,5,14,14,0.0
scaled_real_delta_2,5,15,15,0.005524271633476019
scaled_real_delta_2,5,16,16,0.00390625
scaled_real_delta_2,5,17,17,0.6508684754371643
scaled_real_delta_2,5,18,18,0.005524271633476019
scaled_real_delta_2,5,19,19,0.0078125
scaled_real_delta_2,5,20,20,0.0078125
scaled_real_delta_2,5,21,21,0.008734640665352345
scaled_real_delta_2,5,22,22,0.006765823345631361
scaled_real_delta_2,5,23,23,0.0027621358167380095
scaled_real_delta_2,5,24,24,0.00390625
scaled_real_delta_2,5,25,25,0.005524271633476019
scaled_real_delta_2,5,26,26,0.004784159827977419
scaled_real_delta_2,5,27,27,0.005524271633476019
scaled_real_delta_2,5,28,28,0.004784159827977419
scaled_real_delta_2,5,29,29,0.0
scaled_real_delta_2,5,30,30,0.0027621358167380095
scaled_real_delta_2,5,31,31,0.005524271633476019
scaled_real_delta_2,6,0,0,0.005524271633476019
scaled_real_delta_2,6,1,1,0.005524271633476019
scaled_real_delta_2,6,2,2,0.009568319655954838
scaled_real_delta_2,6,3,3,0.0
scaled_real_delta_2,6,4,4,0.0078125
scaled_real_delta_2,6,5,5,0.011048543266952038
scaled_real_delta_2,6,6,6,0.0
scaled_real_delta_2,6,7,7,0.0
scaled_real_delta_2,6,8,8,0.0078125
scaled_real_delta_2,6,9,9,0.005524271633476019
scaled_real_delta_2,6,10,10,0.005524271633476019
scaled_real_delta_2,6,11,11,0.005524271633476019
scaled_real_delta_2,6,12,12,0.0
scaled_real_delta_2,6,13,13,0.009568319655954838
scaled_real_delta_2,6,14,14,0.0
scaled_real_delta_2,6,15,15,0.0078125
scaled_real_delta_2,6,16,16,0.005524271633476019
scaled_real_delta_2,6,17,17,0.0
scaled_real_delta_2,6,18,18,0.005524271633476019
scaled_real_delta_2,6,19,19,0.0
scaled_real_delta_2,6,20,20,0.0
scaled_real_delta_2,6,21,21,0.015625
scaled_real_delta_2,6,22,22,0.0
scaled_real_delta_2,6,23,23,0.005524271633476019
scaled_real_delta_2,6,24,24,0.009568319655954838
scaled_real_delta_2,6,25,25,0.0078125
scaled_real_delta_2,6,26,26,0.0
scaled_real_delta_2,6,27,27,0.009568319655954838
scaled_real_delta_2,6,28,28,0.005524271633476019
scaled_real_delta_2,6,29,29,0.0078125
scaled_real_delta_2,6,30,30,0.0
scaled_real_delta_2,6,31,31,0.0078125
scaled_real_delta_2,7,0,0,0.4556184709072113
scaled_real_delta_2,7,1,1,2.54498553276062
scaled_real_delta_2,7,2,2,0.00390625
scaled_real_delta_2,7,3,3,0.005524271633476019
scaled_real_delta_2,7,4,4,0.005524271633476019
scaled_real_delta_2,7,5,5,2.481849431991577
scaled_real_delta_2,7,6,6,0.6230315566062927
scaled_real_delta_2,7,7,7,0.3157062232494354
scaled_real_delta_2,7,8,8,1.5577760934829712
scaled_real_delta_2,7,9,9,0.00390625
scaled_real_delta_2,7,10,10,0.9186666011810303
scaled_real_delta_2,7,11,11,0.0
scaled_real_delta_2,7,12,12,1.1615660190582275
scaled_real_delta_2,7,13,13,0.00390625
scaled_real_delta_2,7,14,14,0.6063753366470337
scaled_real_delta_2,7,15,15,1.4255671501159668
scaled_real_delta_2,7,16,16,2.4327878952026367
scaled_real_delta_2,7,17,17,1.7454272508621216
scaled_real_delta_2,7,18,18,2.4679911136627197
scaled_real_delta_2,7,19,19,0.0
scaled_real_delta_2,7,20,20,0.00390625
scaled_real_delta_2,7,21,21,0.00390625
scaled_real_delta_2,7,22,22,1.4169487953186035
scaled_real_delta_2,7,23,23,0.005524271633476019
scaled_real_delta_2,7,24,24,1.2038096189498901
scaled_real_delta_2,7,25,25,0.0078125
scaled_real_delta_2,7,26,26,1.6496520042419434
scaled_real_delta_2,7,27,27,1.1768287420272827
scaled_real_delta_2,7,28,28,2.0868186950683594
scaled_real_delta_2,7,29,29,0.005524271633476019
scaled_real_delta_2,7,30,30,0.0078125
scaled_real_delta_2,7,31,31,0.006765823345631361
scaled_real_delta_4,0,0,0,1.879872441291809
scaled_real_delta_4,0,1,1,2.019451856613159
scaled_real_delta_4,0,2,2,1.1734884977340698
scaled_real_delta_4,0,3,3,1.7382856607437134
scaled_real_delta_4,0,4,4,2.015360116958618
scaled_real_delta_4,0,5,5,0.012352647259831429
scaled_real_delta_4,0,6,6,0.7892751693725586
scaled_real_delta_4,0,7,7,1.3650988340377808
scaled_real_delta_4,0,8,8,0.009568319655954838
scaled_real_delta_4,0,9,9,0.013531646691262722
scaled_real_delta_4,0,10,10,1.4144185781478882
scaled_real_delta_4,0,11,11,0.012352647259831429
scaled_real_delta_4,0,12,12,0.0078125
scaled_real_delta_4,0,13,13,0.9084194302558899
scaled_real_delta_4,0,14,14,0.013531646691262722
scaled_real_delta_4,0,15,15,1.0059788227081299
scaled_real_delta_4,0,16,16,0.7416115999221802
scaled_real_delta_4,0,17,17,2.8380351066589355
scaled_real_delta_4,0,18,18,0.9565767645835876
scaled_real_delta_4,0,19,19,0.6580843329429626
scaled_real_delta_4,0,20,20,1.6314101219177246
scaled_real_delta_4,0,21,21,1.5507763624191284
scaled_real_delta_4,0,22,22,0.011048543266952038
scaled_real_delta_4,0,23,23,0.7073009610176086
scaled_real_delta_4,0,24,24,1.3216062784194946
scaled_real_delta_4,0,25,25,0.009568319655954838
scaled_real_delta_4,0,26,26,0.009568319655954838
scaled_real_delta_4,0,27,27,1.0535728931427002
scaled_real_delta_4,0,28,28,0.005524271633476019
scaled_real_delta_4,0,29,29,1.1645212173461914
scaled_real_delta_4,0,30,30,1.5315190553665161
scaled_real_delta_4,0,31,31,3.5747759342193604
scaled_real_delta_4,1,0,0,0.008734640665352345
scaled_real_delta_4,1,1,1,0.00390625
scaled_real_delta_4,1,2,2,0.009568319655954838
scaled_real_delta_4,1,3,3,0.008734640665352345
scaled_real_delta_4,1,4,4,0.010334965772926807
scaled_real_delta_4,1,5,5,0.006765823345631361
scaled_real_delta_4,1,6,6,0.01461584959179163
scaled_real_delta_4,1,7,7,0.009568319655954838
scaled_real_delta_4,1,8,8,0.006765823345631361
scaled_real_delta_4,1,9,9,0.009568319655954838
scaled_real_delta_4,1,10,10,0.0078125
scaled_real_delta_4,1,11,11,0.013531646691262722
scaled_real_delta_4,1,12,12,0.011048543266952038
scaled_real_delta_4,1,13,13,0.011048543266952038
scaled_real_delta_4,1,14,14,0.005524271633476019
scaled_real_delta_4,1,15,15,0.0078125
scaled_real_delta_4,1,16,16,0.0078125
scaled_real_delta_4,1,17,17,0.005524271633476019
scaled_real_delta_4,1,18,18,0.012352647259831429
scaled_real_delta_4,1,19,19,0.008734640665352345
scaled_real_delta_4,1,20,20,0.02139541320502758
scaled_real_delta_4,1,21,21,0.010334965772926807
scaled_real_delta_4,1,22,22,0.01953125
scaled_real_delta_4,1,23,23,0.012955565936863422
scaled_real_delta_4,1,24,24,0.0078125
scaled_real_delta_4,1,25,25,0.006765823345631361
scaled_real_delta_4,1,26,26,0.005524271633476019
scaled_real_delta_4,1,27,27,0.005524271633476019
scaled_real_delta_4,1,28,28,0.0078125
scaled_real_delta_4,1,29,29,0.011048543266952038
scaled_real_delta_4,1,30,30,0.011048543266952038
scaled_real_delta_4,1,31,31,0.005524271633476019
scaled_real_delta_4,2,0,0,0.6837834715843201
scaled_real_delta_4,2,1,1,0.009568319655954838
scaled_real_delta_4,2,2,2,0.018733717501163483
scaled_real_delta_4,2,3,3,1.3710325956344604
scaled_real_delta_4,2,4,4,0.005524271633476019
scaled_real_delta_4,2,5,5,0.005524271633476019
scaled_real_delta_4,2,6,6,0.011048543266952038
scaled_real_delta_4,2,7,7,0.009568319655954838
scaled_real_delta_4,2,8,8,0.007307924795895815
scaled_real_delta_4,2,9,9,0.01171875
scaled_real_delta_4,2,10,10,0.0078125
