name,kind,parameter,k_relative_l2,k_max_abs,raw_centroid_relative_l2,raw_centroid_max_abs,aligned_centroid_relative_l2,aligned_centroid_max_abs,permutation_explained_fraction,centroid_amplification,raw_assignment_difference_count,raw_assignment_difference_rate,aligned_assignment_difference_count,aligned_assignment_difference_rate,fixed_centroid_assignment_difference_rate,selected_centroid_relative_l2,selected_centroid_max_abs,reconstructed_k_relative_l2,reconstructed_k_max_abs,reconstructed_k_cosine,reconstruction_mse_ref,reconstruction_mse_test,relative_reconstruction_error_ref,relative_reconstruction_error_test,packed_k_difference_rate,packed_scale_relative_l2,packed_zero_relative_l2,qk_relative_l2,qk_max_abs,qk_cosine
real_delta_alpha_1,real_delta,1.0,0.00023537653032690287,0.0078125,0.045991893857717514,2.92138671875,0.045991893857717514,2.92138671875,0.0,195.3971102974525,63,0.015380859375,63,0.015380859375,0.0,0.08081550151109695,9.6640625,0.11692483723163605,4.4609375,0.9931642413139343,0.12942364811897278,0.12918755412101746,0.24786736071109772,0.24764172732830048,0.21240234375,0.024499163031578064,0.03364190831780434,0.06322890520095825,4.888428211212158,0.9979994893074036
random_rel_0,random_noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12942364811897278,0.12942364811897278,0.24786736071109772,0.24786736071109772,0.0,0.0,0.0,0.0,0.0,1.0
random_rel_5e-05,random_noise,5e-05,2.8871210815850645e-05,0.00048828125,3.37446435878519e-05,0.0009765625,3.37446435878519e-05,0.0009765625,0.0,1.1687990435553772,0,0.0,0,0.0,0.0,3.396459578652866e-05,0.0009765625,0.004245011135935783,1.1669921875,0.9999910593032837,0.12942364811897278,0.12942445278167725,0.24786736071109772,0.24786803126335144,0.001068115234375,4.343589171185158e-05,5.969402627670206e-05,0.0015728663420304656,0.3569340705871582,0.9999987483024597
random_rel_0.0001,random_noise,0.0001,7.842025661375374e-05,0.0009765625,0.013741211034357548,0.790283203125,0.013741211034357548,0.790283203125,0.0,175.22527504644182,11,0.002685546875,11,0.002685546875,0.0,0.02444632723927498,4.2685546875,0.04116648808121681,2.662109375,0.9991527199745178,0.12942364811897278,0.12954887747764587,0.24786736071109772,0.24798709154129028,0.05328369140625,0.007645796053111553,0.011492745019495487,0.012574193067848682,1.381410837173462,0.9999210238456726
random_rel_0.0002,random_noise,0.0002,0.00019433260604273528,0.001953125,0.010983681306242943,0.6622314453125,0.010983681306242943,0.6622314453125,0.0,56.520012415351154,8,0.001953125,8,0.001953125,0.0,0.02085723914206028,4.146484375,0.04117904230952263,2.6982421875,0.9991521239280701,0.12942364811897278,0.12933969497680664,0.24786736071109772,0.2477869838476181,0.05523681640625,0.016469420865178108,0.029619064182043076,0.012040283530950546,1.5823322534561157,0.9999276399612427
random_rel_0.0005,random_noise,0.0005,0.0005202674074098468,0.00390625,0.038046713918447495,1.390625,0.038046713918447495,1.390625,0.0,73.12915123371499,68,0.0166015625,68,0.0166015625,0.0,0.06273456662893295,6.10546875,0.09726172685623169,4.400390625,0.9952709674835205,0.12942364811897278,0.1293450891971588,0.24786736071109772,0.24779243767261505,0.209320068359375,0.025981739163398743,0.03996497392654419,0.041883185505867004,3.119781494140625,0.9991238117218018
random_rel_0.001,random_noise,0.001,0.001018501236103475,0.0078125,0.04595789313316345,1.543212890625,0.04595789313316345,1.543212890625,0.0,45.12306073283385,70,0.01708984375,70,0.01708984375,0.0,0.07059759646654129,6.162109375,0.1264837086200714,4.6337890625,0.9920015931129456,0.12942364811897278,0.12946179509162903,0.24786736071109772,0.2479044795036316,0.24932861328125,0.03482133522629738,0.048745110630989075,0.056053344160318375,3.380528211593628,0.9984317421913147
scaled_real_delta_0,scaled_real_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12942364811897278,0.12942364811897278,0.24786736071109772,0.24786736071109772,0.0,0.0,0.0,0.0,0.0,1.0
scaled_real_delta_0.25,scaled_real_delta,0.25,2.156962909793947e-05,0.001953125,2.452773151162546e-05,0.0009765625,2.452773151162546e-05,0.0009765625,0.0,1.1371420157599548,0,0.0,0,0.0,0.0,2.3715301722404547e-05,0.0009765625,0.0010310579091310501,0.966796875,0.999999463558197,0.12942364811897278,0.12942396104335785,0.24786736071109772,0.24786768853664398,6.103515625e-05,6.0652699175989255e-05,5.2105693612247705e-05,0.00043490101234056056,0.24122869968414307,0.9999998211860657
scaled_real_delta_0.5,scaled_real_delta,0.5,0.00015919923316687346,0.00390625,0.02177422121167183,1.5458984375,0.02177422121167183,1.5458984375,0.0,136.77340511337752,14,0.00341796875,14,0.00341796875,0.0,0.02728240005671978,4.2685546875,0.044664930552244186,2.8115234375,0.9990026950836182,0.12942364811897278,0.12953662872314453,0.24786736071109772,0.24797561764717102,0.065277099609375,0.008045446127653122,0.012035109102725983,0.014134235680103302,1.3804548978805542,0.9999002814292908
