name,kind,parameter,qk_relative_l2,qk_max_abs,qk_cosine
real_delta_alpha_1,real_delta,1.0,0.06322890520095825,4.888428211212158,0.9979994893074036
random_rel_0,random_noise,0.0,0.0,0.0,1.0
random_rel_5e-05,random_noise,5e-05,0.0015728663420304656,0.3569340705871582,0.9999987483024597
random_rel_0.0001,random_noise,0.0001,0.012574193067848682,1.381410837173462,0.9999210238456726
random_rel_0.0002,random_noise,0.0002,0.012040283530950546,1.5823322534561157,0.9999276399612427
random_rel_0.0005,random_noise,0.0005,0.041883185505867004,3.119781494140625,0.9991238117218018
random_rel_0.001,random_noise,0.001,0.056053344160318375,3.380528211593628,0.9984317421913147
scaled_real_delta_0,scaled_real_delta,0.0,0.0,0.0,1.0
scaled_real_delta_0.25,scaled_real_delta,0.25,0.00043490101234056056,0.24122869968414307,0.9999998211860657
scaled_real_delta_0.5,scaled_real_delta,0.5,0.014134235680103302,1.3804548978805542,0.9999002814292908
scaled_real_delta_1,scaled_real_delta,1.0,0.06322890520095825,4.888428211212158,0.9979994893074036
scaled_real_delta_2,scaled_real_delta,2.0,0.06777776032686234,5.10045862197876,0.9977025985717773
scaled_real_delta_4,scaled_real_delta,4.0,0.08126886188983917,5.100406646728516,0.9966971278190613
