context_tokens,capacity_tokens,baseline_median_us,strided_median_us,baseline_mean_round_median_us,strided_mean_round_median_us,baseline_p90_us,strided_p90_us,baseline_cv,strided_cv,overhead,speedup,max_abs,cosine,nan,inf
8192,32768,74.75200295448303,99.32799637317657,74.8982887182917,99.32799637317657,75.77600330114365,100.35199671983719,0.005167484571544328,0.0,0.3287670222516716,0.7525773768116573,0.0,1.0,0,0
16384,32768,124.92799758911133,182.27200210094452,124.48914029768535,181.83314161641258,125.95200538635254,183.29599499702454,0.009326976243743276,0.003010205875406703,0.4590164384162936,0.6853932372999592,0.0,0.9999998807907104,0,0
24576,32768,186.36800348758698,271.36000990867615,185.63657360417503,272.9691437312535,190.46400487422943,279.55201268196106,0.02032119652810758,0.015138758032210643,0.456043981963621,0.6867924406043009,0.0,1.0,0,0
32768,33792,247.80799448490143,331.2639892101288,248.10056814125605,329.5817119734628,249.85599517822266,332.8000009059906,0.0020139600878676675,0.010714695743242457,0.3367768457135559,0.748068013899666,0.0,0.9999998807907104,0,0
