request,layer,variant,candidate_type,iters,grid,k_proj_batch_relative_l2,k_proj_batch_max_abs,centroid_batch_relative_l2,assignment_diff_rate,aligned_assignment_diff_rate,reconstructed_k_batch_rel_l2,qk_batch_rel_l2,qk_batch_max_abs,qk_batch_cosine,k_reconstruction_rel_l2_to_fp16,qk_rel_l2_to_fp16,k_quality_ratio,qk_quality_ratio,k_stability_improvement,qk_stability_improvement,centroid_construction_latency_ms
0,0,BASELINE_CURRENT,kmeans,30,,0.00023537653032690287,0.0078125,0.045991893857717514,0.015380859375,0.015380859375,0.11692483723163605,0.06322890520095825,4.888428211212158,0.9979994893074036,0.24786736071109772,0.11247202008962631,1.0,1.0,1.0,1.0,10.785983875393867
0,0,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24786736071109772,0.11247202008962631,1.0,1.0,inf,inf,10.95099188387394
0,0,ANCHOR_ONLY,anchor,0,,0.00023537653032690287,0.0078125,0.00023891955788712949,0.00146484375,0.00146484375,0.03147076442837715,0.01554623618721962,5.199217319488525,0.9998791813850403,0.3410487771034241,0.15517334640026093,1.3759325799290458,1.379661770781808,3.7153478587321844,4.06715197424686,0.17593498341739178
0,8,BASELINE_CURRENT,kmeans,30,,0.001881736796349287,0.1171875,0.029938435181975365,0.009765625,0.009765625,0.08590155094861984,0.032356828451156616,3.6546473503112793,0.9994767308235168,0.20089685916900635,0.07399876415729523,1.0,1.0,1.0,1.0,7.917997194454074
0,8,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.20089685916900635,0.07399876415729523,1.0,1.0,inf,inf,8.334781974554062
0,8,ANCHOR_ONLY,anchor,0,,0.001881736796349287,0.1171875,0.002062186598777771,0.002685546875,0.002685546875,0.0567130520939827,0.021898334845900536,3.920107841491699,0.9997602105140686,0.30118393898010254,0.10316538065671921,1.499196852683141,1.394150048741707,1.5146698648181918,1.4775930991489956,0.17705303616821766
0,16,BASELINE_CURRENT,kmeans,30,,0.005474884528666735,0.4296875,0.046791158616542816,0.02587890625,0.02587890625,0.13011686503887177,0.04228638485074043,3.4520068168640137,0.99910569190979,0.20383867621421814,0.06933476775884628,1.0,1.0,1.0,1.0,9.64912585914135
0,16,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,0.20383867621421814,0.06933476775884628,1.0,1.0,inf,inf,9.368183091282845
0,16,ANCHOR_ONLY,anchor,0,,0.005474884528666735,0.4296875,0.005247189197689295,0.0068359375,0.0068359375,0.0958816334605217,0.032550375908613205,4.39402961730957,0.9994701147079468,0.302585244178772,0.09721353650093079,1.4844348962548162,1.4020893073306286,1.3570572417547109,1.2991058834300886,0.1762821339070797
0,31,BASELINE_CURRENT,kmeans,30,,0.004046088084578514,0.2265625,0.07142693549394608,0.0390625,0.038330078125,0.15658597648143768,0.06425686180591583,8.315839767456055,0.9979340434074402,0.22389554977416992,0.0884031131863594,1.0,1.0,1.0,1.0,8.904488058760762
0,31,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,0.22389554977416992,0.0884031131863594,1.0,1.0,inf,inf,7.954243803396821
0,31,ANCHOR_ONLY,anchor,0,,0.004046088084578514,0.2265625,0.0032016930636018515,0.00439453125,0.00439453125,0.0863763839006424,0.0346953421831131,7.227950096130371,0.9993981719017029,0.3367762565612793,0.126942977309227,1.5041668175225698,1.4359559605284837,1.8128332005835814,1.8520313610623764,0.1788148656487465
1,0,BASELINE_CURRENT,kmeans,30,,0.00023872962628956884,0.0078125,0.03996899724006653,0.003662109375,0.003662109375,0.07023275643587112,0.03134843334555626,3.3020575046539307,0.9995085597038269,0.25165823101997375,0.11917924880981445,1.0,1.0,1.0,1.0,9.612664813175797
1,0,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.25165823101997375,0.11917924880981445,1.0,1.0,inf,inf,9.099503979086876
1,0,ANCHOR_ONLY,anchor,0,,0.00023872962628956884,0.0078125,0.00023407039407175034,0.0009765625,0.0009765625,0.03341638296842575,0.013923164457082748,4.977504253387451,0.9999030828475952,0.33970537781715393,0.16588565707206726,1.349867939706657,1.39190050892825,2.1017462153887867,2.2515307811084018,0.17533614300191402
1,8,BASELINE_CURRENT,kmeans,30,,0.0018598061287775636,0.11962890625,0.013545354828238487,0.004150390625,0.004150390625,0.07330065965652466,0.025837229564785957,2.6666908264160156,0.9996663331985474,0.2043207883834839,0.07687006145715714,1.0,1.0,1.0,1.0,9.018929908052087
1,8,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2043207883834839,0.07687006145715714,1.0,1.0,inf,inf,8.867745054885745
1,8,ANCHOR_ONLY,anchor,0,,0.0018598061287775636,0.11962890625,0.0018468106864020228,0.002197265625,0.002197265625,0.05126093327999115,0.019293010234832764,4.746673583984375,0.9998138546943665,0.3025151789188385,0.10661236941814423,1.4805893287327003,1.3869166668685924,1.4299517189074735,1.3392015683554588,0.18299906514585018
1,16,BASELINE_CURRENT,kmeans,30,,0.00667667668312788,0.560546875,0.08294079452753067,0.056396484375,0.0595703125,0.1444840431213379,0.046684928238391876,3.8967514038085938,0.9989095330238342,0.2041001319885254,0.0685122162103653,1.0,1.0,1.0,1.0,9.424353949725628
1,16,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2041001319885254,0.0685122162103653,1.0,1.0,inf,inf,8.1281210295856
1,16,ANCHOR_ONLY,anchor,0,,0.00667667668312788,0.560546875,0.0065814959816634655,0.005126953125,0.005126953125,0.09013337641954422,0.03009808249771595,3.8802361488342285,0.999547004699707,0.2941618859767914,0.09357825666666031,1.4412625955250695,1.3658623504358738,1.6030026707177527,1.5510931050818486,0.17701718024909496
1,31,BASELINE_CURRENT,kmeans,30,,0.004954744596034288,0.259765625,0.07211285084486008,0.042724609375,0.042724609375,0.17100591957569122,0.06775021553039551,7.684995651245117,0.9977066516876221,0.22392669320106506,0.08731027692556381,1.0,1.0,1.0,1.0,7.65091204084456
1,31,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22392669320106506,0.08731027692556381,1.0,1.0,inf,inf,7.369376951828599
1,31,ANCHOR_ONLY,anchor,0,,0.004954744596034288,0.259765625,0.004787101875990629,0.003662109375,0.003662109375,0.08382415771484375,0.03322611004114151,6.533564567565918,0.9994486570358276,0.3382076919078827,0.12913557887077332,1.5103500483714287,1.4790421404901462,2.0400553281719302,2.0390655254709404,0.18760701641440392
2,0,BASELINE_CURRENT,kmeans,30,,0.0002450952015351504,0.0078125,0.0002125077007804066,0.0,0.0,0.010728427208960056,0.005621485412120819,1.296381950378418,0.9999843835830688,0.25082719326019287,0.11593577265739441,1.0,1.0,1.0,1.0,8.73748492449522
2,0,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,0.25082719326019287,0.11593577265739441,1.0,1.0,inf,inf,8.362102089449763
2,0,ANCHOR_ONLY,anchor,0,,0.0002450952015351504,0.0078125,0.0002491067862138152,0.000244140625,0.000244140625,0.02050059661269188,0.01014894712716341,5.387748718261719,0.9999485611915588,0.3342641294002533,0.15703290700912476,1.3326470908339991,1.354481911921852,0.5233226823417475,0.5538983839097014,0.17570494674146175
2,8,BASELINE_CURRENT,kmeans,30,,0.0017002307577058673,0.0546875,0.05386516451835632,0.01611328125,0.01611328125,0.09322421997785568,0.031525060534477234,3.259547233581543,0.9995030760765076,0.2015916109085083,0.07626891136169434,1.0,1.0,1.0,1.0,8.91045294702053
2,8,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,0.2015916109085083,0.07626891136169434,1.0,1.0,inf,inf,8.9217578060925
2,8,ANCHOR_ONLY,anchor,0,,0.0017002307577058673,0.0546875,0.0017601720755919814,0.00341796875,0.00341796875,0.06078321486711502,0.023677702993154526,7.213171482086182,0.9997197389602661,0.3017059564590454,0.10673554241657257,1.4966196018740765,1.3994633004579629,1.5337165067965486,1.3314239368401344,0.17605791799724102
2,16,BASELINE_CURRENT,kmeans,30,,0.005707823671400547,0.779296875,0.06740367412567139,0.041748046875,0.041748046875,0.1604706346988678,0.05765008553862572,4.656666278839111,0.9983372092247009,0.2028370201587677,0.07064449787139893,1.0,1.0,1.0,1.0,8.447605883702636
2,16,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,0.2028370201587677,0.07064449787139893,1.0,1.0,inf,inf,8.39344714768231
2,16,ANCHOR_ONLY,anchor,0,,0.005707823671400547,0.779296875,0.007771265227347612,0.008056640625,0.008056640625,0.10154793411493301,0.03253346309065819,5.174933433532715,0.9994708299636841,0.29893845319747925,0.09684652090072632,1.4737864565526035,1.370899699464571,1.5802451925535526,1.7720242501690402,0.17636199481785297
2,31,BASELINE_CURRENT,kmeans,30,,0.004885311238467693,0.37109375,0.06342407315969467,0.025634765625,0.025634765625,0.1340780407190323,0.05112358182668686,6.955979347229004,0.998692512512207,0.22390705347061157,0.0862061083316803,1.0,1.0,1.0,1.0,6.911500124260783
2,31,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,0.22390705347061157,0.0862061083316803,1.0,1.0,inf,inf,6.401448976248503
2,31,ANCHOR_ONLY,anchor,0,,0.004885311238467693,0.37109375,0.006971563212573528,0.00537109375,0.00537109375,0.09084314107894897,0.03633852303028107,6.263327598571777,0.9993396401405334,0.33813175559043884,0.1242048367857933,1.5101433847184256,1.4407892803594833,1.4759291579593135,1.406870108179282,0.17717387527227402
3,0,BASELINE_CURRENT,kmeans,30,,0.0002639983140397817,0.015625,0.04792299494147301,0.0126953125,0.0126953125,0.11595063656568527,0.04799788072705269,3.6267054080963135,0.9988479614257812,0.24316947162151337,0.1151573583483696,1.0,1.0,1.0,1.0,8.372800890356302
3,0,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,0.24316947162151337,0.1151573583483696,1.0,1.0,inf,inf,8.336913073435426
3,0,ANCHOR_ONLY,anchor,0,,0.0002639983140397817,0.015625,0.0002608091162983328,0.00146484375,0.00146484375,0.039359189569950104,0.016784584149718285,3.991626739501953,0.999859094619751,0.3392688035964966,0.15558822453022003,1.3951948874756746,1.3510923380123094,2.9459609771592223,2.8596407452762715,0.17537991516292095
3,8,BASELINE_CURRENT,kmeans,30,,0.0015904115280136466,0.0714111328125,0.03916223719716072,0.016357421875,0.016357421875,0.10020553320646286,0.040671952068805695,4.493734359741211,0.9991726875305176,0.1972133070230484,0.07721196860074997,1.0,1.0,1.0,1.0,7.19790905714035
3,8,SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001192092896,0.1972133070230484,0.07721196860074997,1.0,1.0,inf,inf,6.3786020036786795
