comparable,component,cosine,difference_rate,exact,first_non_exact,layer,max_abs,mean_abs,relative_l2,shape_equal
True,K_CENTROID,0.9987694621086121,0.540374755859375,False,False,2,2.2587890625,0.016825232654809952,0.049590565264225006,True
True,V_CENTROID,0.9963650703430176,0.5340576171875,False,False,2,0.61602783203125,0.0011110750492662191,0.0852520540356636,True
True,K_ASSIGNMENT,0.9980980157852173,0.0166015625,False,False,2,24.0,0.118408203125,0.0616673119366169,True
True,V_ASSIGNMENT,0.9949001669883728,0.022705078125,False,False,2,27.0,0.243408203125,0.1009724959731102,True
True,V_PATTERN_MASK,1.0,0.0,True,False,2,0.0,0.0,0.0,True
True,PACKED_K,1.0,0.0,True,False,2,0.0,0.0,0.0,True
True,PACKED_V,0.9672268033027649,0.197906494140625,False,False,2,3827520512.0,56812640.0,0.2560249865055084,True
True,ATTENTION_VALUE_OUTPUT,1.000049352645874,0.8390974998474121,False,False,2,0.000732421875,2.077367935271468e-05,0.0013513818848878145,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0012214183807373,0.7774648666381836,False,False,2,0.5,2.74150133918738e-05,0.0012055628467351198,True
True,POST_ATTENTION_RMSNORM,1.0000507831573486,0.7642378807067871,False,False,2,0.00390625,0.00014271005056798458,0.001204016269184649,True
True,MLP_OUTPUT,1.0000616312026978,0.8603019714355469,False,False,2,0.0005893707275390625,2.2684369469061494e-05,0.0016146337147802114,True
True,LAYER_OUTPUT,1.0013564825057983,0.7891979217529297,False,False,2,0.5,3.169808769598603e-05,0.0012054730905219913,True
True,LAYER_INPUT,1.0013564825057983,0.7891979217529297,False,False,3,0.5,3.169808769598603e-05,0.0012054730905219913,True
True,INPUT_RMSNORM,1.0000805854797363,0.7633671760559082,False,False,3,0.0078125,0.0002652267285156995,0.0010966770350933075,True
True,Q_PROJ,1.0001013278961182,0.6797194480895996,False,False,3,0.00921630859375,0.000429680134402588,0.0005189517396502197,True
True,K_PROJ,0.9999988675117493,0.6377735137939453,False,False,3,0.015625,0.0006323163397610188,0.0004829845856875181,True
True,V_PROJ,0.9999943971633911,0.8124141693115234,False,False,3,0.0027923583984375,0.00017850476433523,0.0011504240101203322,True
True,K_POST_ROPE,0.9999979138374329,0.6195621490478516,False,False,3,0.015625,0.0006618352490477264,0.0005093633662909269,True
True,KMEANS_K_INPUT,0.9999979138374329,0.6195621490478516,False,False,3,0.015625,0.0006618352490477264,0.0005093633662909269,True
True,KMEANS_V_INPUT,0.9999953508377075,0.8124141693115234,False,False,3,0.0027923583984375,0.00017850476433523,0.0011504251742735505,True
True,K_CENTROID,0.9989675283432007,0.54852294921875,False,False,3,2.540771484375,0.012223969213664532,0.045407794415950775,True
True,V_CENTROID,0.9961847066879272,0.653717041015625,False,False,3,0.945068359375,0.0016030531842261553,0.08734645694494247,True
True,K_ASSIGNMENT,0.9979091286659241,0.01025390625,False,False,3,25.0,0.097412109375,0.06466566026210785,True
True,V_ASSIGNMENT,0.9959397315979004,0.017822265625,False,False,3,16.0,0.211669921875,0.0900302529335022,True
True,V_PATTERN_MASK,0.9998774528503418,0.000244140625,False,False,3,1.0,0.000244140625,0.01565752550959587,True
True,PACKED_K,1.0,0.0,True,False,3,0.0,0.0,0.0,True
True,PACKED_V,0.9630390405654907,0.20166015625,False,False,3,3577683712.0,66171036.0,0.27183571457862854,True
True,ATTENTION_VALUE_OUTPUT,1.0000439882278442,0.8818860054016113,False,False,3,0.0008544921875,2.077326826110948e-05,0.0018175538862124085,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0014448165893555,0.8220868110656738,False,False,3,0.5,3.911034218617715e-05,0.0012065606424584985,True
True,POST_ATTENTION_RMSNORM,1.000055193901062,0.8176422119140625,False,False,3,0.00390625,0.00020158225379418582,0.0014125105226412416,True
True,MLP_OUTPUT,1.0000629425048828,0.8806376457214355,False,False,3,0.001220703125,3.4722150303423405e-05,0.0018334084888920188,True
True,LAYER_OUTPUT,1.001515507698059,0.8286600112915039,False,False,3,0.5,4.9499605665914714e-05,0.001206901972182095,True
True,LAYER_INPUT,1.001515507698059,0.8286600112915039,False,False,4,0.5,4.9499605665914714e-05,0.001206901972182095,True
True,INPUT_RMSNORM,1.0000979900360107,0.8186836242675781,False,False,4,0.01171875,0.00029465084662660956,0.0012124754721298814,True
True,Q_PROJ,1.0000932216644287,0.7161755561828613,False,False,4,0.009765625,0.0005095578380860388,0.0006155038718134165,True
True,K_PROJ,1.0000005960464478,0.6741905212402344,False,False,4,0.0078125,0.0007532309973612428,0.0005440586246550083,True
True,V_PROJ,0.999998152256012,0.8482666015625,False,False,4,0.00244140625,0.0002112184010911733,0.0014223847538232803,True
True,K_POST_ROPE,0.9999978542327881,0.6547050476074219,False,False,4,0.0078125,0.000783898402005434,0.0005680869217030704,True
True,KMEANS_K_INPUT,0.9999978542327881,0.6547050476074219,False,False,4,0.0078125,0.000783898402005434,0.0005680869217030704,True
True,KMEANS_V_INPUT,0.9999952912330627,0.8482666015625,False,False,4,0.00244140625,0.0002112184010911733,0.0014223817270249128,True
True,K_CENTROID,0.9999785423278809,0.547454833984375,False,False,4,0.3935546875,0.0013357182033360004,0.006308897398412228,True
True,V_CENTROID,0.9886873364448547,0.718505859375,False,False,4,1.642333984375,0.003288842970505357,0.1503484547138214,True
True,K_ASSIGNMENT,0.9999159574508667,0.000732421875,False,False,4,12.0,0.005615234375,0.012970949523150921,True
True,V_ASSIGNMENT,0.998827338218689,0.01806640625,False,False,4,27.0,0.0888671875,0.04851851612329483,True
True,V_PATTERN_MASK,0.999877393245697,0.000244140625,False,False,4,1.0,0.000244140625,0.015661366283893585,True
True,PACKED_K,1.0,0.0,True,False,4,0.0,0.0,0.0,True
True,PACKED_V,0.9702547788619995,0.178192138671875,False,False,4,4011821312.0,52566192.0,0.24383561313152313,True
True,ATTENTION_VALUE_OUTPUT,1.0000355243682861,0.8625292778015137,False,False,4,0.0008544921875,3.5611679777503014e-05,0.0016027283854782581,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0015735626220703,0.8414664268493652,False,False,4,0.5,6.148985994514078e-05,0.0012103812769055367,True
True,POST_ATTENTION_RMSNORM,1.0000479221343994,0.843623161315918,False,False,4,0.00390625,0.00027433806098997593,0.0016416020225733519,True
True,MLP_OUTPUT,1.0000375509262085,0.896247386932373,False,False,4,0.00146484375,5.2293391490820795e-05,0.0021277680061757565,True
True,LAYER_OUTPUT,1.0015424489974976,0.8543734550476074,False,False,4,0.5,7.401772018056363e-05,0.0012139759492129087,True
True,LAYER_INPUT,1.0015424489974976,0.8543734550476074,False,False,5,0.5,7.401772018056363e-05,0.0012139759492129087,True
True,INPUT_RMSNORM,1.0000978708267212,0.8427705764770508,False,False,5,0.017578125,0.0004257255932316184,0.0014929550234228373,True
True,Q_PROJ,1.0000890493392944,0.7809038162231445,False,False,5,0.0126953125,0.0007383122574537992,0.0008845722768455744,True
True,K_PROJ,0.9999986886978149,0.7273349761962891,False,False,5,0.0166015625,0.0010588921140879393,0.0007530769216828048,True
True,V_PROJ,0.9999958872795105,0.8693084716796875,False,False,5,0.00341796875,0.00025133081362582743,0.0016457433812320232,True
True,K_POST_ROPE,0.9999973773956299,0.712921142578125,False,False,5,0.0166015625,0.0010909796692430973,0.0007748336065560579,True
True,KMEANS_K_INPUT,0.9999973773956299,0.712921142578125,False,False,5,0.0166015625,0.0010909796692430973,0.0007748336065560579,True
True,KMEANS_V_INPUT,0.9999949336051941,0.8693084716796875,False,False,5,0.00341796875,0.000251330784521997,0.0016457454767078161,True
True,K_CENTROID,0.9982743263244629,0.663970947265625,False,False,5,3.25830078125,0.019483521580696106,0.05871449410915375,True
True,V_CENTROID,0.9975988268852234,0.745574951171875,False,False,5,0.4642333984375,0.001319399569183588,0.06926349550485611,True
True,K_ASSIGNMENT,0.996527373790741,0.016357421875,False,False,5,25.0,0.17626953125,0.08344770222902298,True
True,V_ASSIGNMENT,0.9993559718132019,0.009765625,False,False,5,12.0,0.05810546875,0.03588699549436569,True
True,V_PATTERN_MASK,0.9998774528503418,0.000244140625,False,False,5,1.0,0.000244140625,0.015653688460588455,True
True,PACKED_K,1.0,0.0,True,False,5,0.0,0.0,0.0,True
True,PACKED_V,0.9731443524360657,0.174041748046875,False,False,5,3829641472.0,47520988.0,0.23173294961452484,True
True,ATTENTION_VALUE_OUTPUT,1.0000419616699219,0.8851189613342285,False,False,5,0.0029296875,5.586837505688891e-05,0.001907816855236888,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0014373064041138,0.8612208366394043,False,False,5,0.5,9.426708857063204e-05,0.0012214974267408252,True
True,POST_ATTENTION_RMSNORM,1.0000355243682861,0.8589105606079102,False,False,5,0.00390625,0.0003439031424932182,0.001852431450970471,True
True,MLP_OUTPUT,1.000043272972107,0.9033856391906738,False,False,5,0.00390625,8.024470298551023e-05,0.002377541735768318,True
True,LAYER_OUTPUT,1.001394271850586,0.8635354042053223,False,False,5,0.5,0.0001063868694473058,0.0012275227345526218,True
True,LAYER_INPUT,1.001394271850586,0.8635354042053223,False,False,6,0.5,0.0001063868694473058,0.0012275227345526218,True
True,INPUT_RMSNORM,1.0000861883163452,0.8522810935974121,False,False,6,0.01953125,0.00047643022844567895,0.0016554989852011204,True
True,Q_PROJ,1.0000989437103271,0.8130574226379395,False,False,6,0.02734375,0.000861380307469517,0.0010530271101742983,True
True,K_PROJ,0.9999998211860657,0.7463932037353516,False,False,6,0.017578125,0.001176144229248166,0.000753203232306987,True
True,V_PROJ,0.9999924898147583,0.8843936920166016,False,False,6,0.0068359375,0.0003060113522224128,0.001956155290827155,True
True,K_POST_ROPE,0.9999997019767761,0.7318897247314453,False,False,6,0.017578125,0.0012097792932763696,0.0007764998008497059,True
True,KMEANS_K_INPUT,0.9999997019767761,0.7318897247314453,False,False,6,0.017578125,0.0012097792932763696,0.0007764998008497059,True
True,KMEANS_V_INPUT,0.9999924898147583,0.8843936920166016,False,False,6,0.0068359375,0.0003060113522224128,0.001956158084794879,True
True,K_CENTROID,0.9996709823608398,0.632354736328125,False,False,6,1.701171875,0.008723453618586063,0.02561096101999283,True
True,V_CENTROID,0.9960094094276428,0.769134521484375,False,False,6,0.65625,0.002120777266100049,0.08928544074296951,True
True,K_ASSIGNMENT,0.9992084503173828,0.00634765625,False,False,6,19.0,0.052490234375,0.03978143259882927,True
True,V_ASSIGNMENT,0.9997087121009827,0.01318359375,False,False,6,9.0,0.04541015625,0.024196194484829903,True
True,V_PATTERN_MASK,0.9998776316642761,0.000244140625,False,False,6,1.0,0.000244140625,0.01564410887658596,True
True,PACKED_K,1.0,0.0,True,False,6,0.0,0.0,0.0,True
True,PACKED_V,0.9714840650558472,0.1668701171875,False,False,6,3552853760.0,50539828.0,0.23883281648159027,True
True,ATTENTION_VALUE_OUTPUT,1.0000488758087158,0.90399169921875,False,False,6,0.003662109375,7.734540122328326e-05,0.0024422139395028353,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0012847185134888,0.8786840438842773,False,False,6,0.5,0.00013087772822473198,0.001244945451617241,True
True,POST_ATTENTION_RMSNORM,1.0000452995300293,0.8744611740112305,False,False,6,0.0078125,0.00042537751141935587,0.0021586173679679632,True
True,MLP_OUTPUT,1.000058650970459,0.9153428077697754,False,False,6,0.0068359375,0.00010803965415107086,0.0028771408833563328,True
True,LAYER_OUTPUT,1.0012946128845215,0.8799605369567871,False,False,6,0.5,0.0001388962409691885,0.0012552258558571339,True
True,LAYER_INPUT,1.0012946128845215,0.8799605369567871,False,False,7,0.5,0.0001388962409691885,0.0012552258558571339,True
True,INPUT_RMSNORM,1.0000734329223633,0.8692374229431152,False,False,7,0.0234375,0.0006002301233820617,0.0020713394042104483,True
True,Q_PROJ,1.000098466873169,0.8405942916870117,False,False,7,0.06103515625,0.0011103644501417875,0.0014665670460090041,True
True,K_PROJ,1.0000025033950806,0.7935714721679688,False,False,7,0.03515625,0.0015287098940461874,0.0010317726992070675,True
True,V_PROJ,0.9999920129776001,0.9029293060302734,False,False,7,0.013671875,0.00040080095641314983,0.002622579922899604,True
True,K_POST_ROPE,0.9999989867210388,0.7807407379150391,False,False,7,0.03515625,0.0015586267691105604,0.0010492957662791014,True
True,KMEANS_K_INPUT,0.9999989867210388,0.7807407379150391,False,False,7,0.03515625,0.0015586267691105604,0.0010492957662791014,True
True,KMEANS_V_INPUT,0.9999921917915344,0.9029293060302734,False,False,7,0.013671875,0.0004008009273093194,0.0026225782930850983,True
True,K_CENTROID,0.999501645565033,0.69647216796875,False,False,7,2.822265625,0.010055487975478172,0.031539011746644974,True
True,V_CENTROID,0.995489776134491,0.787750244140625,False,False,7,0.6253662109375,0.0020098374225199223,0.0949845165014267,True
True,K_ASSIGNMENT,0.9971432089805603,0.00830078125,False,False,7,28.0,0.1064453125,0.0756475031375885,True
True,V_ASSIGNMENT,0.9988872408866882,0.00830078125,False,False,7,19.0,0.0634765625,0.04720190912485123,True
True,V_PATTERN_MASK,0.9998772740364075,0.000244140625,False,False,7,1.0,0.000244140625,0.015667131170630455,True
True,PACKED_K,1.0,0.0,True,False,7,0.0,0.0,0.0,True
True,PACKED_V,0.9801865220069885,0.135101318359375,False,False,7,3806059520.0,36055160.0,0.19905626773834229,True
True,ATTENTION_VALUE_OUTPUT,1.0000464916229248,0.9091691970825195,False,False,7,0.00341796875,9.467543713981286e-05,0.002930218121036887,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0012211799621582,0.8938474655151367,False,False,7,0.5,0.00016939123452175409,0.001287261606194079,True
True,POST_ATTENTION_RMSNORM,1.0000427961349487,0.8898720741271973,False,False,7,0.010986328125,0.0005295635783113539,0.002714324276894331,True
True,MLP_OUTPUT,1.0000556707382202,0.9297475814819336,False,False,7,0.0157470703125,0.0001411808916600421,0.004057391546666622,True
True,LAYER_OUTPUT,1.0012403726577759,0.9004697799682617,False,False,7,0.5,0.00019212238839827478,0.0013334447285160422,True
True,LAYER_INPUT,1.0012403726577759,0.9004697799682617,False,False,8,0.5,0.00019212238839827478,0.0013334447285160422,True
True,INPUT_RMSNORM,1.0000828504562378,0.8918499946594238,False,False,8,0.07958984375,0.0008416564087383449,0.002865864196792245,True
True,Q_PROJ,1.000088095664978,0.8719644546508789,False,False,8,0.1201171875,0.001626988290809095,0.0026534111239016056,True
True,K_PROJ,0.9999982118606567,0.8413524627685547,False,False,8,0.1171875,0.002378632314503193,0.0019364674808457494,True
True,V_PROJ,0.9999864101409912,0.9227943420410156,False,False,8,0.036865234375,0.000565146270673722,0.003915564157068729,True
True,K_POST_ROPE,0.9999966621398926,0.8324813842773438,False,False,8,0.1171875,0.002403608523309231,0.0019457349553704262,True
True,KMEANS_K_INPUT,0.9999966621398926,0.8324813842773438,False,False,8,0.1171875,0.002403608523309231,0.0019457349553704262,True
True,KMEANS_V_INPUT,0.9999876618385315,0.9227943420410156,False,False,8,0.036865234375,0.0005651462124660611,0.00391556229442358,True
True,K_CENTROID,0.9993637800216675,0.785858154296875,False,False,8,1.4189453125,0.019495371729135513,0.035644013434648514,True
True,V_CENTROID,0.9943848848342896,0.818328857421875,False,False,8,0.9119873046875,0.0028106779791414738,0.10590703040361404,True
True,K_ASSIGNMENT,0.9977738857269287,0.0146484375,False,False,8,27.0,0.113037109375,0.06673435121774673,True
True,V_ASSIGNMENT,0.9946445822715759,0.01025390625,False,False,8,29.0,0.157470703125,0.1034301370382309,True
True,V_PATTERN_MASK,0.9997543096542358,0.00048828125,False,False,8,1.0,0.00048828125,0.022164830937981606,True
True,PACKED_K,1.0,0.0,True,False,8,0.0,0.0,0.0,True
True,PACKED_V,0.9652867913246155,0.176971435546875,False,False,8,3641409792.0,62251600.0,0.2635236084461212,True
True,ATTENTION_VALUE_OUTPUT,1.000052571296692,0.9383125305175781,False,False,8,0.01953125,0.00012221252836752683,0.006103403400629759,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0012097358703613,0.9153928756713867,False,False,8,0.5,0.00022639243979938328,0.0014071858022361994,True
