label,context_tokens,v2_tokens,v4_tokens,v2_kernel_median_us,v2_kernel_mean_us,v2_kernel_p90_us,v4_kernel_median_us,v4_kernel_mean_us,v4_kernel_p90_us,mixed_v_median_us,mixed_v_mean_us,mixed_v_p90_us,kernel_launches,max_abs_error,mean_abs_error,relative_l2,cosine_similarity,nan_count,inf_count,correctness_passed
candidate_a_gated,8192,5952,1984,115.7120019197464,116.86912186443806,116.73600226640701,90.11200070381165,94.97600063681602,108.5439994931221,784.38401222229,796.3852798938751,843.7759876251221,2,3.0517578125e-05,3.3046089811250567e-06,0.00044577106018550694,0.9999998807907104,0,0,True
candidate_a_gated,16384,12096,4032,256.00001215934753,257.1264037489891,257.02399015426636,90.11200070381165,91.37152075767517,95.23200243711472,933.8880181312561,942.827518582344,978.9440035820007,2,3.0517578125e-05,2.9580987757071853e-06,0.00041766426875256,0.9999998807907104,0,0,True
candidate_a_gated,32768,24384,8128,521.727979183197,508.01662743091583,523.2639908790588,163.83999586105347,164.95615899562836,164.86400365829468,1159.168004989624,1167.6364850997925,1195.0080394744873,2,3.0517578125e-05,2.9397342586889863e-06,0.0004173623747192323,0.9999999403953552,0,0,True
