case,batch,row,step,phase,state_ok,hidden_relative_l2,logit_relative_l2,logit_cosine,logit_max_abs,token_match,state_reason
b4_ctx512_d257,4,3,127,decode,False,0.1832667887210846,0.08566276729106903,0.9974145293235779,1.8857421875,True,"{""component"": ""v_centroid_hash"", ""got"": ""ae7ca03f35509a9b5f8dcaae76f30884c92e556b83eefe38fafffd45561882a6"", ""layer"": 0, ""ref"": ""0e6eddb97f49e4c12e48480fa92265880fa14bf8fc3f7ca16d0e0c0c15a72bbc""}"
b4_ctx512_d257,4,0,128,decode,False,0.04674205183982849,0.019035764038562775,0.9998676776885986,0.5810546875,True,"{""component"": ""v_centroid_hash"", ""got"": ""0cc5845f585414d6cf190c4e52f3f028b25abf03f99b0b663338dd7ab6227cdb"", ""layer"": 0, ""ref"": ""2c66dd10cce8cc8e7d42421dd06cd81fcf92784e08eaace68d4b37c74e4e90bf""}"
b4_ctx512_d257,4,1,128,decode,False,0.03979106992483139,0.018227193504571915,0.9998379945755005,0.314453125,True,"{""component"": ""v_centroid_hash"", ""got"": ""7ca90d3fe1cf654b85819973bd38883a836f0d4f9ee05bcf66380766207637cd"", ""layer"": 0, ""ref"": ""874b2c5d19a90d5340476244c5ad2ed33fbcdafb0d9ca231e05a181f6332f129""}"
b4_ctx512_d257,4,2,128,decode,False,0.04146980866789818,0.03857963904738426,0.9992597103118896,0.4375,True,"{""component"": ""v_centroid_hash"", ""got"": ""f75786ee2254ccb1557b2d905e1ead1d2fecc2b2e4db891bf2fbbe37aaa2b470"", ""layer"": 0, ""ref"": ""6838806a148d7211bcee90918a02922801b1db70e20d49bb0fa6f9dd627c0b5c""}"
b4_ctx512_d257,4,3,128,decode,False,0.04399670287966728,0.016421107575297356,0.9998676776885986,0.443359375,True,"{""component"": ""v_centroid_hash"", ""got"": ""ae7ca03f35509a9b5f8dcaae76f30884c92e556b83eefe38fafffd45561882a6"", ""layer"": 0, ""ref"": ""0e6eddb97f49e4c12e48480fa92265880fa14bf8fc3f7ca16d0e0c0c15a72bbc""}"
b4_ctx512_d257,4,0,129,decode,False,0.04787205904722214,0.018203558400273323,0.9998350143432617,0.4375,True,"{""component"": ""v_centroid_hash"", ""got"": ""0cc5845f585414d6cf190c4e52f3f028b25abf03f99b0b663338dd7ab6227cdb"", ""layer"": 0, ""ref"": ""2c66dd10cce8cc8e7d42421dd06cd81fcf92784e08eaace68d4b37c74e4e90bf""}"
b4_ctx512_d257,4,1,129,decode,False,0.01857937127351761,0.01720934733748436,0.9998520612716675,0.21484375,True,"{""component"": ""v_centroid_hash"", ""got"": ""7ca90d3fe1cf654b85819973bd38883a836f0d4f9ee05bcf66380766207637cd"", ""layer"": 0, ""ref"": ""874b2c5d19a90d5340476244c5ad2ed33fbcdafb0d9ca231e05a181f6332f129""}"
b4_ctx512_d257,4,2,129,decode,False,0.05966100096702576,0.027508990839123726,0.9996716976165771,0.55078125,True,"{""component"": ""v_centroid_hash"", ""got"": ""f75786ee2254ccb1557b2d905e1ead1d2fecc2b2e4db891bf2fbbe37aaa2b470"", ""layer"": 0, ""ref"": ""6838806a148d7211bcee90918a02922801b1db70e20d49bb0fa6f9dd627c0b5c""}"
b4_ctx512_d257,4,3,129,decode,False,0.10800334811210632,0.03930339962244034,0.9992660880088806,1.02734375,True,"{""component"": ""v_centroid_hash"", ""got"": ""ae7ca03f35509a9b5f8dcaae76f30884c92e556b83eefe38fafffd45561882a6"", ""layer"": 0, ""ref"": ""0e6eddb97f49e4c12e48480fa92265880fa14bf8fc3f7ca16d0e0c0c15a72bbc""}"
b4_ctx512_d257,4,0,255,decode,False,0.143836110830307,0.07252513617277145,0.9975195527076721,1.41796875,True,"{""component"": ""k_centroid_hash"", ""got"": ""3bac9e9067f93e0bfce01e4593344dbfeb7aa3399fc34d266a36889804e96cc3"", ""layer"": 0, ""ref"": ""03559d87af264bf81f57d2911488e7abf569bf6f0393587afd0c7d61be7e4b5f""}"
b4_ctx512_d257,4,1,255,decode,False,1.2697577476501465,0.5829471349716187,0.8289847373962402,19.2890625,False,"{""component"": ""k_centroid_hash"", ""got"": ""1fcbc91702f5158e59947a087700c6342beaa9b8e746bb7e0a87cafa06eff3e4"", ""layer"": 0, ""ref"": ""c6ecce81f118020212874abee6770c9fa41dee8b830dff832a7ebc1907ef443e""}"
b4_ctx512_d257,4,2,255,decode,False,0.05403286963701248,0.02008473314344883,0.9997993111610413,1.6796875,True,"{""component"": ""k_assignments_hash"", ""got"": ""38225396ae51da8fc1f0c343e8617e90ac28c8647888118bba95c9669720bd03"", ""layer"": 0, ""ref"": ""419765685b84e535046ec3d2ae7e526a7c39b59dda4498b0941ff6d854a057ab""}"
b4_ctx512_d257,4,3,255,decode,False,0.05254902318120003,0.01928970217704773,0.999814510345459,0.578125,True,"{""component"": ""k_centroid_hash"", ""got"": ""204ec7418dc694805c0c9ee2ca3f5702b982d79f605906aa783060edbec96f26"", ""layer"": 0, ""ref"": ""cd3d0555bd0ae0ebc31cfa0e4684bd58e651c399f99d189beac105b012f7efa0""}"
b4_ctx512_d257,4,0,256,decode,False,0.024014398455619812,0.011401253752410412,0.9999426007270813,0.220703125,True,"{""component"": ""k_centroid_hash"", ""got"": ""3bac9e9067f93e0bfce01e4593344dbfeb7aa3399fc34d266a36889804e96cc3"", ""layer"": 0, ""ref"": ""03559d87af264bf81f57d2911488e7abf569bf6f0393587afd0c7d61be7e4b5f""}"
b4_ctx512_d257,4,1,256,decode,False,1.3211686611175537,0.5916317701339722,0.808647871017456,22.12109375,False,"{""component"": ""k_centroid_hash"", ""got"": ""1fcbc91702f5158e59947a087700c6342beaa9b8e746bb7e0a87cafa06eff3e4"", ""layer"": 0, ""ref"": ""c6ecce81f118020212874abee6770c9fa41dee8b830dff832a7ebc1907ef443e""}"
b4_ctx512_d257,4,2,256,decode,False,0.03754517063498497,0.031946927309036255,0.9994965195655823,0.359375,True,"{""component"": ""k_assignments_hash"", ""got"": ""38225396ae51da8fc1f0c343e8617e90ac28c8647888118bba95c9669720bd03"", ""layer"": 0, ""ref"": ""419765685b84e535046ec3d2ae7e526a7c39b59dda4498b0941ff6d854a057ab""}"
b4_ctx512_d257,4,3,256,decode,False,0.04916736111044884,0.023164251819252968,0.9997355341911316,0.4267578125,True,"{""component"": ""k_centroid_hash"", ""got"": ""204ec7418dc694805c0c9ee2ca3f5702b982d79f605906aa783060edbec96f26"", ""layer"": 0, ""ref"": ""cd3d0555bd0ae0ebc31cfa0e4684bd58e651c399f99d189beac105b012f7efa0""}"
b4_ctx512_d257,4,0,257,decode,False,0.035021938383579254,0.012392099015414715,0.9999324679374695,0.447265625,True,"{""component"": ""k_centroid_hash"", ""got"": ""3bac9e9067f93e0bfce01e4593344dbfeb7aa3399fc34d266a36889804e96cc3"", ""layer"": 0, ""ref"": ""03559d87af264bf81f57d2911488e7abf569bf6f0393587afd0c7d61be7e4b5f""}"
b4_ctx512_d257,4,1,257,decode,False,1.2294257879257202,0.605216383934021,0.8031327724456787,25.02734375,False,"{""component"": ""k_centroid_hash"", ""got"": ""1fcbc91702f5158e59947a087700c6342beaa9b8e746bb7e0a87cafa06eff3e4"", ""layer"": 0, ""ref"": ""c6ecce81f118020212874abee6770c9fa41dee8b830dff832a7ebc1907ef443e""}"
b4_ctx512_d257,4,2,257,decode,False,0.05252405256032944,0.023452075198292732,0.9997270703315735,0.4140625,True,"{""component"": ""k_assignments_hash"", ""got"": ""38225396ae51da8fc1f0c343e8617e90ac28c8647888118bba95c9669720bd03"", ""layer"": 0, ""ref"": ""419765685b84e535046ec3d2ae7e526a7c39b59dda4498b0941ff6d854a057ab""}"
b4_ctx512_d257,4,3,257,decode,False,0.03322369232773781,0.013661663047969341,0.9999069571495056,0.41796875,True,"{""component"": ""k_centroid_hash"", ""got"": ""204ec7418dc694805c0c9ee2ca3f5702b982d79f605906aa783060edbec96f26"", ""layer"": 0, ""ref"": ""cd3d0555bd0ae0ebc31cfa0e4684bd58e651c399f99d189beac105b012f7efa0""}"
