kv_type,metric,task_left,task_right,bucket,overlap,set_size,intersection_size
k,relative_benefit,dureader,samsum,top_10pct,0.5294117647058824,26,18
k,relative_benefit,dureader,samsum,bottom_10pct,0.3684210526315789,26,14
k,relative_benefit,dureader,samsum,top_25pct,0.47126436781609193,64,41
k,relative_benefit,dureader,samsum,bottom_25pct,0.5802469135802469,64,47
k,relative_benefit,gsm8k,hotpotqa,top_10pct,0.10638297872340426,26,5
k,relative_benefit,gsm8k,hotpotqa,bottom_10pct,0.15555555555555556,26,7
k,relative_benefit,gsm8k,hotpotqa,top_25pct,0.3473684210526316,64,33
k,relative_benefit,gsm8k,hotpotqa,bottom_25pct,0.29292929292929293,64,29
k,relative_benefit,gsm8k,passage_retrieval_en,top_10pct,0.13043478260869565,26,6
k,relative_benefit,gsm8k,passage_retrieval_en,bottom_10pct,0.10638297872340426,26,5
k,relative_benefit,gsm8k,passage_retrieval_en,top_25pct,0.29292929292929293,64,29
k,relative_benefit,gsm8k,passage_retrieval_en,bottom_25pct,0.28,64,28
k,relative_benefit,gsm8k,passage_retrieval_zh,top_10pct,0.20930232558139536,26,9
k,relative_benefit,gsm8k,passage_retrieval_zh,bottom_10pct,0.18181818181818182,26,8
k,relative_benefit,gsm8k,passage_retrieval_zh,top_25pct,0.391304347826087,64,36
k,relative_benefit,gsm8k,passage_retrieval_zh,bottom_25pct,0.3763440860215054,64,35
k,relative_benefit,gsm8k,samsum,top_10pct,0.08333333333333333,26,4
k,relative_benefit,gsm8k,samsum,bottom_10pct,0.20930232558139536,26,9
k,relative_benefit,gsm8k,samsum,top_25pct,0.2549019607843137,64,26
k,relative_benefit,gsm8k,samsum,bottom_25pct,0.3333333333333333,64,32
k,relative_benefit,hotpotqa,passage_retrieval_en,top_10pct,0.6774193548387096,26,21
k,relative_benefit,hotpotqa,passage_retrieval_en,bottom_10pct,0.625,26,20
k,relative_benefit,hotpotqa,passage_retrieval_en,top_25pct,0.5802469135802469,64,47
k,relative_benefit,hotpotqa,passage_retrieval_en,bottom_25pct,0.7777777777777778,64,56
k,relative_benefit,hotpotqa,passage_retrieval_zh,top_10pct,0.625,26,20
k,relative_benefit,hotpotqa,passage_retrieval_zh,bottom_10pct,0.40540540540540543,26,15
k,relative_benefit,hotpotqa,passage_retrieval_zh,top_25pct,0.620253164556962,64,49
k,relative_benefit,hotpotqa,passage_retrieval_zh,bottom_25pct,0.6,64,48
k,relative_benefit,hotpotqa,samsum,top_10pct,0.625,26,20
k,relative_benefit,hotpotqa,samsum,bottom_10pct,0.5757575757575758,26,19
k,relative_benefit,hotpotqa,samsum,top_25pct,0.5058823529411764,64,43
k,relative_benefit,hotpotqa,samsum,bottom_25pct,0.6410256410256411,64,50
k,relative_benefit,passage_retrieval_en,passage_retrieval_zh,top_10pct,0.7333333333333333,26,22
k,relative_benefit,passage_retrieval_en,passage_retrieval_zh,bottom_10pct,0.4857142857142857,26,17
