context_tokens,decode_tokens,profile_off_tpot_ms,mixed_v_cuda_us_per_call,mixed_v_host_us_per_call,mixed_v_kernel_launches_per_call,cache_mutation_estimated_bytes_per_token,cache_mutation_time_us_per_token,concat_calls_per_token
8192,128,115.9876400232315,1068.4108746051788,37.37728225067258,2.0,27984544.0,24795.923537923954,162.75
16384,128,116.04504835605621,1161.0214471817017,36.86586730182171,2.0,30624416.0,25545.380271374597,162.75
32768,128,120.2190717458725,1493.893119096756,29.627848360687494,2.0,35904160.0,24594.076785229845,162.75
