label,context_tokens,bit,mode,round,median_us,mean_us,p90_us,round_cv,stability
post_histogram,8192,2,FULL,0,115.7120019197464,116.39296188950539,115.7120019197464,,
post_histogram,8192,2,FULL,1,115.7120019197464,116.04992184787989,115.7120019197464,,
post_histogram,8192,2,FULL,2,115.7120019197464,116.03968191891909,115.7120019197464,,
post_histogram,8192,2,FULL,3,115.7120019197464,115.94240184873343,115.7120019197464,,
post_histogram,8192,2,FULL,4,115.7120019197464,115.99872186779976,115.7120019197464,,
post_histogram,8192,2,RESIDUAL_ONLY,0,93.18400174379349,94.65344123542309,100.35199671983719,,
post_histogram,8192,2,RESIDUAL_ONLY,1,92.16000139713287,94.40256100147963,100.35199671983719,,
post_histogram,8192,2,RESIDUAL_ONLY,2,91.13600105047226,93.19424081593752,99.32799637317657,,
post_histogram,8192,2,RESIDUAL_ONLY,3,91.13600105047226,94.11584082990885,99.32799637317657,,
post_histogram,8192,2,RESIDUAL_ONLY,4,91.13600105047226,92.89216101169586,98.30400347709656,,
post_histogram,8192,2,NO_TABLE_CONTRIBUTION,0,92.16000139713287,93.49632114171982,98.30400347709656,,
post_histogram,8192,2,NO_TABLE_CONTRIBUTION,1,95.23200243711472,95.93344107270241,101.3759970664978,,
post_histogram,8192,2,NO_TABLE_CONTRIBUTION,2,91.13600105047226,92.89728097617626,98.30400347709656,,
post_histogram,8192,2,NO_TABLE_CONTRIBUTION,3,91.13600105047226,92.69760105758905,97.28000313043594,,
post_histogram,8192,2,NO_TABLE_CONTRIBUTION,4,92.16000139713287,95.16544103622437,101.3759970664978,,
post_histogram,8192,2,LANE0_TABLE_FULL,0,96.25600278377533,114.52928051352501,105.47199845314026,,
post_histogram,8192,2,LANE0_TABLE_FULL,1,97.28000313043594,99.0361613035202,106.49599879980087,,
post_histogram,8192,2,LANE0_TABLE_FULL,2,92.16000139713287,94.45376105606556,99.32799637317657,,
post_histogram,8192,2,LANE0_TABLE_FULL,3,91.13600105047226,93.91104087233543,99.32799637317657,,
post_histogram,8192,2,LANE0_TABLE_FULL,4,91.13600105047226,93.94688099622726,100.35199671983719,,
post_histogram,16384,2,FULL,0,225.2800017595291,225.2902377396822,225.2800017595291,,
post_histogram,16384,2,FULL,1,224.2559939622879,225.15199720859528,226.30399465560913,,
post_histogram,16384,2,FULL,2,225.2800017595291,225.24927750229836,225.2800017595291,,
post_histogram,16384,2,FULL,3,225.2800017595291,225.24927720427513,226.30399465560913,,
post_histogram,16384,2,FULL,4,225.2800017595291,225.4387181252241,226.30399465560913,,
post_histogram,16384,2,RESIDUAL_ONLY,0,102.39999741315842,102.92735747992992,103.42399775981903,,
post_histogram,16384,2,RESIDUAL_ONLY,1,102.39999741315842,102.84543745219707,103.42399775981903,,
post_histogram,16384,2,RESIDUAL_ONLY,2,102.39999741315842,102.81471744179726,103.42399775981903,,
