task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,decode,k,3,7,bucketfirst,relative_mse_gain,11,0.01584473613198501,0.029032410115431947,,
dureader,decode,k,3,7,bucketfirst,relative_range_gain,11,0.10521970247303053,0.04621189883447256,,
dureader,decode,k,4,0,bucketfirst,relative_mse_gain,11,0.020207449243907473,0.038769508524873666,,
dureader,decode,k,4,0,bucketfirst,relative_range_gain,11,0.07350365638445767,0.05082242719683464,,
dureader,decode,k,4,1,bucketfirst,relative_mse_gain,11,-0.010844825328517937,0.017654279301161403,,
dureader,decode,k,4,1,bucketfirst,relative_range_gain,11,0.0155835896195253,0.02328920406931449,,
dureader,decode,k,4,2,bucketfirst,relative_mse_gain,11,0.02015107030699667,0.01864138017529103,,
dureader,decode,k,4,2,bucketfirst,relative_range_gain,11,0.03268765654865177,0.02750293682919678,,
dureader,decode,k,4,3,bucketfirst,relative_mse_gain,11,-0.017562078514518593,0.02282739312499289,,
dureader,decode,k,4,3,bucketfirst,relative_range_gain,11,0.013244647775512847,0.06691316339404899,,
dureader,decode,k,4,4,bucketfirst,relative_mse_gain,11,0.019987892905581724,0.01597450335273602,,
dureader,decode,k,4,4,bucketfirst,relative_range_gain,11,0.06826776112750364,0.04997397852470756,,
dureader,decode,k,4,5,bucketfirst,relative_mse_gain,11,0.028183899672084442,0.0295471286471976,,
dureader,decode,k,4,5,bucketfirst,relative_range_gain,11,0.044350142939407866,0.05121191141330558,,
dureader,decode,k,4,6,bucketfirst,relative_mse_gain,11,-0.014598400700049979,0.009637221184680944,,
dureader,decode,k,4,6,bucketfirst,relative_range_gain,11,0.02746639804314666,0.021433868692040604,,
dureader,decode,k,4,7,bucketfirst,relative_mse_gain,11,0.019831993923104266,0.02038692472099833,,
dureader,decode,k,4,7,bucketfirst,relative_range_gain,11,0.0008961771527538704,0.0192941797397234,,
dureader,decode,k,5,0,bucketfirst,relative_mse_gain,11,0.010363791843542037,0.012561836274211133,,
dureader,decode,k,5,0,bucketfirst,relative_range_gain,11,0.06253517920868822,0.037704170971908826,,
dureader,decode,k,5,1,bucketfirst,relative_mse_gain,11,0.01751354279258632,0.015427649981539605,,
dureader,decode,k,5,1,bucketfirst,relative_range_gain,11,0.05538549052360889,0.032540108794632455,,
dureader,decode,k,5,2,bucketfirst,relative_mse_gain,11,-0.018808684806977685,0.011653490015431294,,
dureader,decode,k,5,2,bucketfirst,relative_range_gain,11,0.0165258179726872,0.02882968266064357,,
dureader,decode,k,5,3,bucketfirst,relative_mse_gain,11,-0.005681238131822434,0.017361272995473184,,
dureader,decode,k,5,3,bucketfirst,relative_range_gain,11,0.046789216791317007,0.03564633525377973,,
dureader,decode,k,5,4,bucketfirst,relative_mse_gain,11,0.016333474161478487,0.02561203417517437,,
dureader,decode,k,5,4,bucketfirst,relative_range_gain,11,0.05224763539869338,0.05018760893442777,,
dureader,decode,k,5,5,bucketfirst,relative_mse_gain,11,0.021501150320155017,0.02417669055748405,,
dureader,decode,k,5,5,bucketfirst,relative_range_gain,11,0.11404042479491162,0.06085153390624213,,
dureader,decode,k,5,6,bucketfirst,relative_mse_gain,11,0.05945426785629977,0.03907922453342318,,
dureader,decode,k,5,6,bucketfirst,relative_range_gain,11,0.06416890807544423,0.044103219682481376,,
dureader,decode,k,5,7,bucketfirst,relative_mse_gain,11,-0.026736751778024394,0.02045417450974674,,
dureader,decode,k,5,7,bucketfirst,relative_range_gain,11,0.03367079980726433,0.038761203521033995,,
dureader,decode,k,6,0,bucketfirst,relative_mse_gain,11,0.036078347151344836,0.016576736872910263,,
dureader,decode,k,6,0,bucketfirst,relative_range_gain,11,0.040296733726431826,0.02822452288557005,,
dureader,decode,k,6,1,bucketfirst,relative_mse_gain,11,0.035553544578185554,0.011751157655709664,,
dureader,decode,k,6,1,bucketfirst,relative_range_gain,11,0.01964374298917472,0.025374408442075006,,
