tokens,assignment,mask_density,max_abs_error,mean_abs_error,cosine_similarity,nan_count,inf_count,passed,historical_materialize_calls,historical_torch_cat_calls,historical_materialized_bytes,page_native_kernel_calls,page_table_rebuilds,page_table_device_updates,page_table_bytes_uploaded
127,normal,0.0,0.0,0.0,1.0000001192092896,0,0,True,0,0,0,1,5,5,40
127,normal,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,normal,0.5,0.0,0.0,1.0000001192092896,0,0,True,0,0,0,1,5,5,40
127,normal,1.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,uniform,0.0,0.0,0.0,0.9999999403953552,0,0,True,0,0,0,1,5,5,40
127,uniform,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,uniform,0.5,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,uniform,1.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,skewed,0.0,0.0,0.0,0.9999998807907104,0,0,True,0,0,0,1,5,5,40
127,skewed,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,skewed,0.5,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,skewed,1.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,all_same,0.0,0.0,0.0,0.9999999403953552,0,0,True,0,0,0,1,5,5,40
127,all_same,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
127,all_same,0.5,0.0,0.0,1.000000238418579,0,0,True,0,0,0,1,5,5,40
127,all_same,1.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,normal,0.0,0.0,0.0,0.9999998807907104,0,0,True,0,0,0,1,5,5,40
128,normal,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,normal,0.5,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,normal,1.0,0.0,0.0,0.9999999403953552,0,0,True,0,0,0,1,5,5,40
128,uniform,0.0,0.0,0.0,1.0000001192092896,0,0,True,0,0,0,1,5,5,40
128,uniform,0.25,0.0,0.0,1.0000001192092896,0,0,True,0,0,0,1,5,5,40
128,uniform,0.5,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,uniform,1.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,skewed,0.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,skewed,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,skewed,0.5,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,skewed,1.0,0.0,0.0,0.9999999403953552,0,0,True,0,0,0,1,5,5,40
128,all_same,0.0,0.0,0.0,1.0000001192092896,0,0,True,0,0,0,1,5,5,40
128,all_same,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,all_same,0.5,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
128,all_same,1.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,40
129,normal,0.0,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,80
129,normal,0.25,0.0,0.0,1.0,0,0,True,0,0,0,1,5,5,80
