component,calls,total_us_cuda_event_sum,mean_us,percent_of_wall_median,tokens,bytes
metadata_num_pages_item_calls,1,0.0,0.0,0.0,0,0
metadata_page_item_calls,128,0.0,0.0,0.0,0,0
metadata_seq_lens_item_calls,2,0.0,0.0,0.0,0,0
metadata_v2_count_item_calls,128,0.0,0.0,0.0,0,0
metadata_v2_page_item_calls,128,0.0,0.0,0.0,0,0
metadata_v4_count_item_calls,128,0.0,0.0,0.0,0,0
metadata_v4_page_item_calls,128,0.0,0.0,0.0,0,0
metadata_valid_tokens_item_calls,128,0.0,0.0,0.0,0,0
page_attn_slice,128,3101.6960367560387,24.232000287156552,1.5933321531805889,0,0
page_batch_decode_calls,1,0.0,0.0,0.0,0,0
page_batch_decode_total,1,202562.56103515625,202562.56103515625,104.0557932509315,0,0
page_batch_item_calls,771,0.0,0.0,0.0,0,0
page_batch_repeat_kv,162,9908.22409465909,61.161877127525244,5.08982564502038,0,0
page_metadata_lookup,256,20707.104064524174,80.88712525204755,10.63717859979904,0,0
page_precision_reconstruct,128,5929.056018590927,46.32075014524162,3.0457386798965866,0,0
page_temp_allocation,162,3335.1679258048534,20.587456332128724,1.7132659775389385,0,33554432
v2_accumulate,105,4256.768003106117,40.54064764862969,2.186689233118033,0,0
v2_attn_slice,105,12150.784023106098,115.72175260101046,6.24182210021333,0,0
v2_centroid_gather,105,7374.847985804081,70.23664748384839,3.78843777125572,0,0
v2_dequant,105,28837.887912988663,274.64655155227297,14.813938405659682,0,0
v2_matmul,105,8888.319924473763,84.65066594736916,4.5659038653675825,0,0
v2_page_restore,105,56352.768033742905,536.6930288927896,28.94825159037726,0,0
v2_restore_combine,105,6038.528021425009,57.509790680238176,3.101974126543075,0,0
v4_accumulate,57,2315.264005213976,40.61866675813993,1.1893443261020784,0,0
v4_attn_slice,57,5632.000111043453,98.8070194919904,2.8931419318017446,0,0
v4_centroid_gather,57,3812.351979315281,66.88336805816283,1.958394025688491,0,0
v4_dequant,57,14521.343901753426,254.76041932900748,7.459571754250672,0,0
v4_matmul,57,4665.343947708607,81.84813943348433,2.3965734970293786,0,0
v4_page_restore,57,29053.95194888115,509.7184552435289,14.924929866929212,0,0
v4_restore_combine,57,3312.640007585287,58.116491361145385,1.7016934520502711,0,0
