kv_type,metric,layer,kv_head,task_coverage,task_count,positive_task_count,negative_task_count,zero_task_count,mean_rank,std_rank,sign_consistency_rate
k,range_contraction,8,3,6,6,6,0,0,161.5,50.00583299309525,1.0
k,range_contraction,8,4,6,6,6,0,0,206.33333333333334,6.1553951042064625,1.0
k,range_contraction,8,5,6,6,6,0,0,126.33333333333333,12.565384549980509,1.0
k,range_contraction,8,6,6,6,6,0,0,67.83333333333333,17.77091881573813,1.0
k,range_contraction,8,7,6,6,6,0,0,20.833333333333332,15.65691185671328,1.0
k,range_contraction,9,0,6,6,6,0,0,92.5,12.919623317522328,1.0
k,range_contraction,9,1,6,6,6,0,0,172.5,42.797001452594,1.0
k,range_contraction,9,2,6,6,6,0,0,137.5,48.59955418176865,1.0
k,range_contraction,9,3,6,6,6,0,0,67.5,61.991262825229384,1.0
k,range_contraction,9,4,6,6,6,0,0,161.33333333333334,25.322366047078265,1.0
k,range_contraction,9,5,6,6,6,0,0,53.333333333333336,25.150657159516836,1.0
k,range_contraction,9,6,6,6,6,0,0,66.33333333333333,22.87405128573035,1.0
k,range_contraction,9,7,6,6,6,0,0,66.33333333333333,5.08811250749125,1.0
k,range_contraction,10,0,6,6,6,0,0,102.83333333333333,13.158225142050462,1.0
k,range_contraction,10,1,6,6,6,0,0,178.83333333333334,14.904324502938364,1.0
k,range_contraction,10,2,6,6,6,0,0,31.5,10.56330125166055,1.0
k,range_contraction,10,3,6,6,6,0,0,30.833333333333332,9.227073690444273,1.0
k,range_contraction,10,4,6,6,6,0,0,43.833333333333336,24.120645836203384,1.0
k,range_contraction,10,5,6,6,6,0,0,136.33333333333334,31.084115271666043,1.0
k,range_contraction,10,6,6,6,6,0,0,54.5,22.47035083541569,1.0
k,range_contraction,10,7,6,6,6,0,0,73.33333333333333,22.50678909919306,1.0
k,range_contraction,11,0,6,6,6,0,0,170.33333333333334,59.99074002618145,1.0
k,range_contraction,11,1,6,6,6,0,0,36.166666666666664,14.576426936057485,1.0
k,range_contraction,11,2,6,6,6,0,0,158.33333333333334,18.481221700838816,1.0
k,range_contraction,11,3,6,6,6,0,0,81.83333333333333,17.31489403824221,1.0
k,range_contraction,11,4,6,6,6,0,0,183.16666666666666,12.601807630477285,1.0
k,range_contraction,11,5,6,6,6,0,0,165.16666666666666,32.503418623619,1.0
k,range_contraction,11,6,6,6,6,0,0,125.16666666666667,32.779143097741624,1.0
k,range_contraction,11,7,6,6,6,0,0,105.0,18.284784202536635,1.0
k,range_contraction,12,0,6,6,6,0,0,168.16666666666666,10.510576683618375,1.0
k,range_contraction,12,1,6,6,6,0,0,243.0,6.782329983125268,1.0
k,range_contraction,12,2,6,6,6,0,0,218.66666666666666,12.432037465981011,1.0
k,range_contraction,12,3,6,6,6,0,0,151.33333333333334,12.242911781471305,1.0
k,range_contraction,12,4,6,6,6,0,0,148.5,12.579745625409124,1.0
k,range_contraction,12,5,6,6,6,0,0,217.16666666666666,15.442545846531337,1.0
k,range_contraction,12,6,6,6,6,0,0,120.66666666666667,21.28118626601649,1.0
k,range_contraction,12,7,6,6,6,0,0,177.83333333333334,51.69595943806655,1.0
k,range_contraction,13,0,6,6,6,0,0,78.16666666666667,61.48825542780959,1.0
k,range_contraction,13,1,6,6,6,0,0,130.33333333333334,39.30083403129704,1.0
k,range_contraction,13,2,6,6,6,0,0,41.5,45.617065520117215,1.0
k,range_contraction,13,3,6,6,6,0,0,50.333333333333336,40.77444733599164,1.0
k,range_contraction,13,4,6,6,6,0,0,85.66666666666667,45.01728063261436,1.0
k,range_contraction,13,5,6,6,6,0,0,77.66666666666667,69.24513621106459,1.0
k,range_contraction,13,6,6,6,6,0,0,169.33333333333334,39.330508373130506,1.0
k,range_contraction,13,7,6,6,6,0,0,199.16666666666666,43.356724456023606,1.0
k,range_contraction,14,0,6,6,6,0,0,116.0,18.11997056656918,1.0
k,range_contraction,14,1,6,6,6,0,0,84.83333333333333,14.530619012584731,1.0
k,range_contraction,14,2,6,6,6,0,0,87.66666666666667,33.93457758033177,1.0
k,range_contraction,14,3,6,6,6,0,0,110.0,26.870057685088806,1.0
k,range_contraction,14,4,6,6,6,0,0,151.66666666666666,12.405196043952264,1.0
k,range_contraction,14,5,6,6,6,0,0,52.333333333333336,48.43093593515983,1.0
k,range_contraction,14,6,6,6,6,0,0,72.66666666666667,31.40948193707683,1.0
k,range_contraction,14,7,6,6,6,0,0,82.33333333333333,56.369810675179274,1.0
k,range_contraction,15,0,6,6,6,0,0,102.33333333333333,49.06345098158325,1.0
k,range_contraction,15,1,6,6,6,0,0,162.0,23.079572497485014,1.0
k,range_contraction,15,2,6,6,6,0,0,118.0,53.08797729555472,1.0
k,range_contraction,15,3,6,6,6,0,0,80.16666666666667,54.31824943996467,1.0
k,range_contraction,15,4,6,6,6,0,0,70.83333333333333,34.148775803663725,1.0
k,range_contraction,15,5,6,6,6,0,0,119.16666666666667,30.25677151022928,1.0
